location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14644,3220,7174,10712,14644,18575,22113,26068,2021-05-22,day
BE,13901,772,5316,9383,13901,18420,22487,27031,2021-05-22,day
BG,6388,0,0,820,6388,11957,16969,22570,2021-05-22,day
CH,16355,11328,13068,14625,16355,18085,19643,21383,2021-05-22,day
CY,2253,0,0,702,2253,3805,5201,6761,2021-05-22,day
CZ,1275,0,0,0,1275,10562,18921,28263,2021-05-22,day
DE,153766,106221,122678,137404,153766,170127,184853,201310,2021-05-22,day
DK,6145,2483,3750,4884,6145,7405,8539,9806,2021-05-22,day
EE,3404,3077,3190,3292,3404,3517,3619,3732,2021-05-22,day
ES,45171,0,7071,25119,45171,65224,83271,103440,2021-05-22,day
FI,1,0,0,0,1,469,891,1363,2021-05-22,day
FR,122018,34009,64472,91731,122018,152304,179563,210026,2021-05-22,day
GB,12414,0,0,5143,12414,19684,26227,33540,2021-05-22,day
GR,11483,4405,6855,9047,11483,13919,16111,18561,2021-05-22,day
HR,9980,73,3502,6571,9980,13389,16457,19886,2021-05-22,day
HU,5336,0,0,0,5336,18477,30305,43523,2021-05-22,day
IE,3254,1490,2100,2647,3254,3861,4407,5017,2021-05-22,day
IS,63,0,0,6,63,120,171,228,2021-05-22,day
IT,120572,90980,101223,110388,120572,130755,139921,150164,2021-05-22,day
LI,35,0,0,16,35,54,71,90,2021-05-22,day
LT,2152,0,0,0,2152,4538,6686,9086,2021-05-22,day
LU,592,0,0,193,592,990,1348,1749,2021-05-22,day
LV,5161,3762,4246,4679,5161,5642,6075,6559,2021-05-22,day
MT,0,0,0,0,0,102,193,295,2021-05-22,day
NL,19443,0,0,1318,19443,37567,53879,72109,2021-05-22,day
NO,2263,225,930,1561,2263,2964,3596,4301,2021-05-22,day
PL,40589,0,0,0,40589,104459,161944,226185,2021-05-22,day
PT,3528,3135,3271,3393,3528,3663,3784,3920,2021-05-22,day
RO,4225,0,0,0,4225,19212,32701,47775,2021-05-22,day
SE,33198,27270,29322,31158,33198,35238,37074,39126,2021-05-22,day
SI,5047,1740,2884,3909,5047,6185,7210,8354,2021-05-22,day
SK,361,0,0,0,361,1775,3048,4470,2021-05-22,day
