location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,4451,2577,3225,3806,4451,5096,5677,6325,2021-08-07,day
BE,13662,9852,11171,12351,13662,14973,16153,17472,2021-08-07,day
BG,1391,440,769,1064,1391,1718,2013,2342,2021-08-07,day
CH,6492,4374,5107,5763,6492,7221,7877,8610,2021-08-07,day
CY,2150,0,0,0,2150,7078,11513,16469,2021-08-07,day
CZ,3339,985,1800,2529,3339,4149,4878,5693,2021-08-07,day
DE,4412,0,0,0,4412,13341,21377,30358,2021-08-07,day
DK,5452,0,0,2010,5452,8893,11990,15452,2021-08-07,day
EE,1115,248,548,817,1115,1413,1682,1982,2021-08-07,day
ES,0,0,0,0,0,107804,204831,313261,2021-08-07,day
FI,2199,0,104,1096,2199,3301,4293,5402,2021-08-07,day
FR,99191,0,12279,53449,99191,144934,186104,232112,2021-08-07,day
GB,571390,37977,222610,387824,571390,754955,920170,1104803,2021-08-07,day
GR,38928,0,6756,21996,38928,55861,71101,88132,2021-08-07,day
HR,1441,408,766,1085,1441,1796,2116,2473,2021-08-07,day
HU,793,44,304,535,793,1050,1282,1541,2021-08-07,day
IE,7290,0,1611,4301,7290,10280,12970,15977,2021-08-07,day
IS,163,0,0,0,163,350,520,709,2021-08-07,day
IT,29893,19,10360,19613,29893,40174,49427,59768,2021-08-07,day
LI,19,14,16,17,19,21,23,25,2021-08-07,day
LT,1650,459,871,1240,1650,2060,2428,2841,2021-08-07,day
LU,874,0,116,475,874,1273,1632,2034,2021-08-07,day
LV,482,283,352,414,482,551,613,682,2021-08-07,day
MT,1056,878,940,995,1056,1117,1171,1233,2021-08-07,day
NL,271,0,0,0,271,55252,104736,160036,2021-08-07,day
NO,2832,1993,2284,2543,2832,3120,3380,3670,2021-08-07,day
PL,1459,250,668,1043,1459,1875,2249,2668,2021-08-07,day
PT,23078,5351,11487,16977,23078,29178,34669,40805,2021-08-07,day
RO,1161,294,594,862,1161,1459,1727,2027,2021-08-07,day
SE,4847,1122,2411,3565,4847,6129,7283,8573,2021-08-07,day
SI,170,0,0,0,170,534,861,1226,2021-08-07,day
SK,415,114,218,311,415,519,613,717,2021-08-07,day
