location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,0,0,0,0,0,4171,7924,12119,2021-06-19,day
BE,13309,194,4733,8796,13309,17823,21885,26425,2021-06-19,day
BG,361,0,0,0,361,2322,4088,6060,2021-06-19,day
CH,6065,0,0,1744,6065,10387,14276,18623,2021-06-19,day
CY,151,0,0,0,151,699,1192,1743,2021-06-19,day
CZ,0,0,0,0,0,3913,7436,11372,2021-06-19,day
DE,2567,0,0,0,2567,43228,79824,120722,2021-06-19,day
DK,6181,3991,4749,5427,6181,6935,7613,8371,2021-06-19,day
EE,0,0,0,0,0,1055,2004,3065,2021-06-19,day
ES,40949,13653,23101,31555,40949,50343,58797,68245,2021-06-19,day
FI,1316,0,435,852,1316,1780,2198,2665,2021-06-19,day
FR,0,0,0,0,0,48269,91713,140263,2021-06-19,day
GB,40794,35217,37148,38875,40794,42712,44440,46370,2021-06-19,day
GR,8888,1440,4018,6325,8888,11451,13758,16337,2021-06-19,day
HR,2419,0,0,0,2419,6062,9342,13006,2021-06-19,day
HU,1978,0,0,0,1978,5482,8635,12159,2021-06-19,day
IE,4684,0,0,0,4684,10686,16088,22125,2021-06-19,day
IS,13,0,0,0,13,34,53,75,2021-06-19,day
IT,0,0,0,0,0,20521,38991,59631,2021-06-19,day
LI,3,0,0,0,3,15,26,39,2021-06-19,day
LT,2806,0,0,0,2806,5866,8621,11700,2021-06-19,day
LU,210,0,0,0,210,626,1001,1419,2021-06-19,day
LV,633,0,0,0,633,2004,3237,4616,2021-06-19,day
MT,13,0,0,0,13,39,63,89,2021-06-19,day
NL,20107,0,0,3894,20107,36319,50911,67217,2021-06-19,day
NO,2694,1717,2055,2357,2694,3030,3333,3671,2021-06-19,day
PL,0,0,0,0,0,9675,18383,28115,2021-06-19,day
PT,5373,3854,4380,4850,5373,5896,6366,6892,2021-06-19,day
RO,0,0,0,0,0,1655,3145,4810,2021-06-19,day
SE,7547,0,0,0,7547,21229,33545,47307,2021-06-19,day
SI,1473,0,0,0,1473,2972,4320,5827,2021-06-19,day
SK,0,0,0,0,0,970,1844,2820,2021-06-19,day
