location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,51209,5016,21005,35312,51209,67106,81413,97402,2021-11-20,day
BE,54786,0,3307,27692,54786,81880,106265,133516,2021-11-20,day
BG,31096,0,7073,18453,31096,43740,55120,67837,2021-11-20,day
CH,14588,562,5417,9761,14588,19415,23759,28614,2021-11-20,day
CY,1392,642,901,1134,1392,1651,1883,2143,2021-11-20,day
CZ,0,0,0,0,0,0,0,0,2021-11-20,day
DE,174411,27071,78071,123706,174411,225115,270751,321750,2021-11-20,day
DK,14268,697,5394,9598,14268,18938,23142,27839,2021-11-20,day
EE,12251,1094,4956,8411,12251,16090,19546,23407,2021-11-20,day
ES,14781,10992,12304,13477,14781,16085,17258,18570,2021-11-20,day
FI,5163,3196,3877,4486,5163,5840,6449,7130,2021-11-20,day
FR,48451,27038,34450,41082,48451,55820,62452,69864,2021-11-20,day
GB,249052,136817,175666,210428,249052,287676,322438,361286,2021-11-20,day
GR,41368,0,13997,26962,41368,55774,68740,83230,2021-11-20,day
HR,30787,0,4436,16918,30787,44655,57138,71087,2021-11-20,day
HU,0,0,0,0,0,0,0,0,2021-11-20,day
IE,22698,3837,10365,16208,22698,29189,35032,41560,2021-11-20,day
IS,779,0,224,487,779,1072,1335,1628,2021-11-20,day
IT,35960,1542,13455,24115,35960,47804,58464,70378,2021-11-20,day
LI,67,0,0,8,67,126,179,238,2021-11-20,day
LT,19239,10902,13788,16370,19239,22108,24691,27576,2021-11-20,day
LU,1188,254,577,866,1188,1509,1798,2121,2021-11-20,day
LV,15858,2332,7014,11203,15858,20513,24702,29384,2021-11-20,day
MT,222,0,55,134,222,310,389,477,2021-11-20,day
NL,67313,5426,26848,46016,67313,88610,107779,129200,2021-11-20,day
NO,9624,0,1526,5362,9624,13886,17721,22008,2021-11-20,day
PL,69843,0,15953,41480,69843,98207,123734,152262,2021-11-20,day
PT,6752,4221,5097,5881,6752,7623,8407,9283,2021-11-20,day
RO,66094,28379,41434,53115,66094,79073,90755,103809,2021-11-20,day
SE,5564,2981,3875,4675,5564,6452,7252,8146,2021-11-20,day
SI,19661,0,2507,10633,19661,28690,36816,45897,2021-11-20,day
SK,34379,0,4441,18622,34379,50136,64318,80167,2021-11-20,day
