location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,17937,12201,14187,15963,17937,19911,21687,23672,2021-03-27,day
BE,15926,15618,15725,15820,15926,16033,16128,16235,2021-03-27,day
BG,16617,13901,14841,15682,16617,17552,18393,19333,2021-03-27,day
CH,7134,5909,6333,6713,7134,7556,7935,8359,2021-03-27,day
CY,2395,2074,2185,2284,2395,2505,2604,2715,2021-03-27,day
CZ,75188,51456,59671,67021,75188,83355,90706,98920,2021-03-27,day
DE,69091,46910,54588,61458,69091,76724,83594,91272,2021-03-27,day
DK,5440,4448,4792,5099,5440,5781,6088,6431,2021-03-27,day
EE,10868,8106,9062,9917,10868,11819,12675,13631,2021-03-27,day
ES,14,11,12,13,14,15,17,18,2021-03-27,day
FI,4184,3572,3784,3973,4184,4395,4585,4797,2021-03-27,day
FR,160769,108416,126537,142753,160769,178785,195001,213122,2021-03-27,day
GB,39403,30341,33478,36285,39403,42522,45329,48465,2021-03-27,day
GR,15718,10599,12371,13956,15718,17479,19065,20836,2021-03-27,day
HR,3161,3100,3121,3140,3161,3182,3201,3222,2021-03-27,day
HU,50052,37390,41773,45695,50052,54410,58331,62714,2021-03-27,day
IE,3750,3138,3350,3540,3750,3961,4150,4362,2021-03-27,day
IS,13,13,13,13,13,13,13,13,2021-03-27,day
IT,136551,106658,117005,126264,136551,146839,156097,166444,2021-03-27,day
LI,13,12,12,13,13,14,14,14,2021-03-27,day
LT,3277,2748,2931,3095,3277,3458,3622,3805,2021-03-27,day
LU,1138,974,1031,1082,1138,1195,1246,1303,2021-03-27,day
LV,4124,3440,3677,3888,4124,4359,4571,4807,2021-03-27,day
MT,1652,1426,1504,1574,1652,1729,1799,1877,2021-03-27,day
NL,35765,28270,30865,33186,35765,38345,40666,43261,2021-03-27,day
NO,4030,3429,3637,3823,4030,4237,4423,4631,2021-03-27,day
PL,90615,71496,78114,84035,90615,97194,103116,109734,2021-03-27,day
PT,4470,3458,3808,4122,4470,4818,5132,5482,2021-03-27,day
RO,25153,20644,22205,23601,25153,26705,28101,29662,2021-03-27,day
SE,28699,20822,23549,25988,28699,31409,33849,36575,2021-03-27,day
SI,4964,4097,4397,4665,4964,5262,5531,5831,2021-03-27,day
SK,14734,12008,12952,13796,14734,15672,16516,17460,2021-03-27,day
