location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13669,3224,6840,10075,13669,17264,20499,24115,2021-05-15,day
BE,19429,8498,12281,15667,19429,23191,26577,30361,2021-05-15,day
BG,8606,0,0,3009,8606,14202,19240,24869,2021-05-15,day
CH,17572,15773,16395,16953,17572,18191,18748,19371,2021-05-15,day
CY,4789,0,1637,3130,4789,6448,7941,9610,2021-05-15,day
CZ,14723,0,1746,7893,14723,21553,27701,34571,2021-05-15,day
DE,215421,130735,160048,186278,215421,244564,270794,300107,2021-05-15,day
DK,5891,2040,3373,4565,5891,7216,8409,9742,2021-05-15,day
EE,0,0,0,0,0,1966,3735,5712,2021-05-15,day
ES,52538,39309,43888,47986,52538,57091,61188,65767,2021-05-15,day
FI,1699,0,0,693,1699,2704,3608,4619,2021-05-15,day
FR,159442,49409,87495,121576,159442,197309,231389,269476,2021-05-15,day
GB,31212,0,5151,17496,31212,44928,57273,71069,2021-05-15,day
GR,18088,11950,14075,15976,18088,20201,22102,24227,2021-05-15,day
HR,12730,7554,9346,10949,12730,14512,16115,17907,2021-05-15,day
HU,16159,0,0,0,16159,36941,55646,76550,2021-05-15,day
IE,6295,2478,3799,4981,6295,7608,8791,10112,2021-05-15,day
IS,87,0,0,35,87,139,186,238,2021-05-15,day
IT,174316,100270,125900,148834,174316,199798,222732,248362,2021-05-15,day
LI,48,0,1,23,48,73,95,120,2021-05-15,day
LT,8504,3906,5498,6922,8504,10087,11511,13103,2021-05-15,day
LU,1106,756,877,986,1106,1226,1335,1456,2021-05-15,day
LV,8379,5135,6258,7263,8379,9496,10501,11624,2021-05-15,day
MT,237,104,150,191,237,283,324,370,2021-05-15,day
NL,74212,58560,63978,68826,74212,79599,84446,89864,2021-05-15,day
NO,2605,0,378,1432,2605,3777,4832,6011,2021-05-15,day
PL,62059,0,0,11974,62059,112144,157222,207598,2021-05-15,day
PT,6834,3093,4388,5546,6834,8121,9279,10574,2021-05-15,day
RO,10742,0,0,0,10742,23516,35013,47862,2021-05-15,day
SE,31765,20102,24139,27751,31765,35779,39391,43428,2021-05-15,day
SI,6404,3036,4202,5245,6404,7563,8606,9771,2021-05-15,day
SK,3147,0,553,1781,3147,4512,5741,7114,2021-05-15,day
