location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14242,10047,11499,12799,14242,15686,16986,18438,2021-10-30,day
BE,19097,11895,14388,16618,19097,21575,23806,26299,2021-10-30,day
BG,19795,5177,10237,14764,19795,24825,29353,34413,2021-10-30,day
CH,6132,0,0,549,6132,11714,16739,22354,2021-10-30,day
CY,1026,0,0,423,1026,1629,2172,2778,2021-10-30,day
CZ,1207,0,0,0,1207,4258,7004,10073,2021-10-30,day
DE,64216,42405,49954,56710,64216,71721,78477,86026,2021-10-30,day
DK,4821,1842,2873,3796,4821,5846,6768,7799,2021-10-30,day
EE,7757,0,2640,5064,7757,10450,12874,15583,2021-10-30,day
ES,10916,0,1555,5989,10916,15842,20276,25231,2021-10-30,day
FI,4433,2687,3292,3833,4433,5034,5575,6179,2021-10-30,day
FR,0,0,0,0,0,7914,15036,22995,2021-10-30,day
GB,288249,181483,218438,251507,288249,324991,358060,395015,2021-10-30,day
GR,17087,15396,15981,16505,17087,17669,18193,18778,2021-10-30,day
HR,9949,7718,8490,9181,9949,10716,11407,12179,2021-10-30,day
HU,5808,541,2364,3995,5808,7620,9251,11074,2021-10-30,day
IE,11281,6727,8303,9714,11281,12848,14259,15835,2021-10-30,day
IS,314,66,152,229,314,399,476,562,2021-10-30,day
IT,17704,0,6040,11565,17704,23842,29368,35542,2021-10-30,day
LI,13,0,0,0,13,25,37,50,2021-10-30,day
LT,16648,1536,6767,11448,16648,21849,26530,31761,2021-10-30,day
LU,712,479,560,632,712,792,864,944,2021-10-30,day
LV,14520,0,0,4195,14520,24845,34138,44523,2021-10-30,day
MT,102,0,16,57,102,147,188,233,2021-10-30,day
NL,23175,0,7930,15151,23175,31198,38419,46489,2021-10-30,day
NO,2966,0,0,895,2966,5037,6901,8984,2021-10-30,day
PL,124,0,0,0,124,6636,12497,19047,2021-10-30,day
PT,4608,930,2203,3342,4608,5873,7012,8285,2021-10-30,day
RO,104970,0,16907,58622,104970,151318,193032,239650,2021-10-30,day
SE,4169,674,1884,2966,4169,5372,6454,7664,2021-10-30,day
SI,6634,4389,5166,5861,6634,7406,8102,8878,2021-10-30,day
SK,9506,0,1589,5339,9506,13673,17423,21614,2021-10-30,day
