location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14345,6455,9186,11630,14345,17061,19505,22236,2021-10-02,day
BE,14643,13185,13690,14142,14643,15145,15596,16101,2021-10-02,day
BG,9986,5934,7337,8591,9986,11380,12635,14037,2021-10-02,day
CH,15287,8664,10957,13008,15287,17567,19618,21911,2021-10-02,day
CY,392,0,0,0,392,1607,2700,3922,2021-10-02,day
CZ,2727,0,666,1642,2727,3811,4787,5878,2021-10-02,day
DE,64531,23696,37830,50478,64531,78583,91231,105366,2021-10-02,day
DK,2513,0,0,0,2513,5518,8222,11244,2021-10-02,day
EE,2956,1744,2163,2539,2956,3374,3749,4169,2021-10-02,day
ES,11748,0,0,0,11748,37748,61149,87301,2021-10-02,day
FI,3298,2252,2614,2938,3298,3658,3982,4344,2021-10-02,day
FR,47931,0,0,0,47931,108102,162258,222779,2021-10-02,day
GB,189734,144555,160193,174187,189734,205282,219276,234914,2021-10-02,day
GR,16181,0,4573,10072,16181,22289,27788,33932,2021-10-02,day
HR,8208,0,2430,5167,8208,11248,13985,17044,2021-10-02,day
HU,2177,0,0,849,2177,3504,4698,6033,2021-10-02,day
IE,8607,0,2802,5552,8607,11662,14412,17485,2021-10-02,day
IS,133,0,0,9,133,258,369,494,2021-10-02,day
IT,34449,22683,26756,30400,34449,38498,42142,46215,2021-10-02,day
LI,30,0,0,3,30,56,80,106,2021-10-02,day
LT,7617,3195,4726,6095,7617,9138,10508,12038,2021-10-02,day
LU,562,271,372,462,562,663,753,854,2021-10-02,day
LV,3466,0,632,1975,3466,4958,6301,7802,2021-10-02,day
MT,253,28,106,176,253,331,401,478,2021-10-02,day
NL,14418,9760,11372,12815,14418,16022,17465,19077,2021-10-02,day
NO,4793,0,0,906,4793,8680,12178,16088,2021-10-02,day
PL,4285,0,848,2476,4285,6094,7722,9541,2021-10-02,day
PT,6825,0,0,1935,6825,11715,16116,21034,2021-10-02,day
RO,477,0,0,0,477,19438,36503,55574,2021-10-02,day
SE,7103,6006,6386,6725,7103,7480,7819,8199,2021-10-02,day
SI,264,0,0,0,264,6846,12770,19389,2021-10-02,day
SK,30,0,0,0,30,2375,4486,6845,2021-10-02,day
