location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19264,14474,16132,17615,19264,20912,22395,24053,2021-04-03,day
BE,16814,16494,16605,16704,16814,16924,17022,17133,2021-04-03,day
BG,22921,17108,19120,20921,22921,24921,26721,28733,2021-04-03,day
CH,8768,8593,8654,8708,8768,8829,8883,8944,2021-04-03,day
CY,2468,2145,2257,2357,2468,2579,2679,2791,2021-04-03,day
CZ,66498,46042,53122,59458,66498,73537,79873,86954,2021-04-03,day
DE,86509,66482,73414,79617,86509,93400,99603,106535,2021-04-03,day
DK,5500,4599,4911,5190,5500,5810,6089,6401,2021-04-03,day
EE,11171,8433,9381,10229,11171,12113,12961,13909,2021-04-03,day
ES,17966,17614,17736,17845,17966,18087,18196,18318,2021-04-03,day
FI,5235,3777,4282,4733,5235,5737,6188,6693,2021-04-03,day
FR,164737,111769,130103,146509,164737,182965,199371,217705,2021-04-03,day
GB,34402,26738,29391,31765,34402,37040,39414,42067,2021-04-03,day
GR,17371,13250,14677,15953,17371,18790,20066,21492,2021-04-03,day
HR,3348,3282,3305,3325,3348,3370,3390,3413,2021-04-03,day
HU,51265,42143,45301,48126,51265,54404,57229,60387,2021-04-03,day
IE,3592,2992,3199,3385,3592,3798,3984,4192,2021-04-03,day
IS,13,13,13,13,13,13,13,13,2021-04-03,day
IT,158116,108325,125559,140981,158116,175251,190673,207907,2021-04-03,day
LI,20,20,20,20,20,21,21,21,2021-04-03,day
LT,3548,2963,3166,3347,3548,3749,3930,4132,2021-04-03,day
LU,1432,1155,1251,1337,1432,1527,1613,1709,2021-04-03,day
LV,3800,3162,3383,3580,3800,4019,4217,4438,2021-04-03,day
MT,1753,1502,1589,1666,1753,1839,1916,2003,2021-04-03,day
NL,40522,32477,35261,37753,40522,43290,45782,48566,2021-04-03,day
NO,6264,4579,5163,5685,6264,6844,7366,7950,2021-04-03,day
PL,122509,97254,105996,113818,122509,131201,139023,147765,2021-04-03,day
PT,3468,2702,2967,3204,3468,3731,3968,4233,2021-04-03,day
RO,28316,23022,24854,26494,28316,30138,31777,33610,2021-04-03,day
SE,27930,22546,24410,26077,27930,29783,31451,33314,2021-04-03,day
SI,5529,4213,4668,5076,5529,5981,6389,6844,2021-04-03,day
SK,12828,10456,11277,12011,12828,13644,14378,15199,2021-04-03,day
