location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,264,0,0,0,264,1610,2821,4174,2021-07-24,day
BE,14510,1937,6289,10183,14510,18837,22731,27083,2021-07-24,day
BG,228,0,0,0,228,499,743,1015,2021-07-24,day
CH,1525,0,0,221,1525,2829,4003,5315,2021-07-24,day
CY,2282,0,0,0,2282,5908,9171,12818,2021-07-24,day
CZ,2883,41,1025,1905,2883,3862,4742,5726,2021-07-24,day
DE,1661,0,0,0,1661,5823,9568,13753,2021-07-24,day
DK,1301,0,0,0,1301,4008,6444,9166,2021-07-24,day
EE,0,0,0,0,0,213,405,619,2021-07-24,day
ES,90885,0,10576,48618,90885,133152,171193,213706,2021-07-24,day
FI,1217,133,508,844,1217,1590,1926,2301,2021-07-24,day
FR,27739,0,0,3214,27739,52264,74337,99004,2021-07-24,day
GB,0,0,0,0,0,181368,344606,527029,2021-07-24,day
GR,1917,0,0,0,1917,8287,14020,20427,2021-07-24,day
HR,527,32,204,357,527,698,851,1022,2021-07-24,day
HU,47,0,0,0,47,415,746,1115,2021-07-24,day
IE,7198,3182,4572,5816,7198,8581,9825,11215,2021-07-24,day
IS,2,1,1,2,2,2,3,3,2021-07-24,day
IT,5777,0,0,523,5777,11032,15761,21046,2021-07-24,day
LI,21,19,20,20,21,22,23,23,2021-07-24,day
LT,1025,0,0,0,1025,2536,3896,5416,2021-07-24,day
LU,827,0,0,277,827,1378,1873,2427,2021-07-24,day
LV,0,0,0,0,0,449,852,1304,2021-07-24,day
MT,291,192,227,257,291,325,355,389,2021-07-24,day
NL,19648,0,0,1795,19648,37500,53568,71524,2021-07-24,day
NO,2531,2137,2274,2396,2531,2667,2789,2925,2021-07-24,day
PL,1086,0,0,0,1086,2681,4117,5721,2021-07-24,day
PT,18824,0,1544,9729,18824,27918,36103,45251,2021-07-24,day
RO,601,0,0,108,601,1094,1537,2033,2021-07-24,day
SE,4134,0,0,1582,4134,6687,8985,11552,2021-07-24,day
SI,0,0,0,0,0,319,605,926,2021-07-24,day
SK,66,0,0,0,66,233,382,550,2021-07-24,day
