location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,30569,0,7555,18457,30569,42682,53583,65766,2021-11-13,day
BE,49738,0,5068,26228,49738,73248,94408,118055,2021-11-13,day
BG,33781,0,8574,20515,33781,47048,58989,72333,2021-11-13,day
CH,10456,3750,6071,8148,10456,12764,14841,17162,2021-11-13,day
CY,1352,602,862,1094,1352,1610,1843,2102,2021-11-13,day
CZ,31647,0,0,14049,31647,49245,65084,82784,2021-11-13,day
DE,135418,22119,61336,96428,135418,174408,209500,248717,2021-11-13,day
DK,11107,909,4439,7598,11107,14617,17776,21306,2021-11-13,day
EE,12256,1232,5047,8462,12256,16049,19464,23280,2021-11-13,day
ES,13215,6333,8715,10847,13215,15583,17715,20097,2021-11-13,day
FI,4167,3160,3509,3820,4167,4513,4825,5173,2021-11-13,day
FR,39218,25953,30545,34653,39218,43783,47892,52483,2021-11-13,day
GB,289119,136219,189143,236501,289119,341737,389095,442019,2021-11-13,day
GR,26087,5548,12657,19019,26087,33155,39516,46625,2021-11-13,day
HR,24325,0,7263,15345,24325,33305,41387,50419,2021-11-13,day
HU,19553,0,0,9138,19553,29969,39343,49820,2021-11-13,day
IE,15740,3224,7557,11433,15740,20047,23924,28256,2021-11-13,day
IS,608,0,196,391,608,825,1020,1239,2021-11-13,day
IT,30419,11654,18149,23961,30419,36876,42688,49183,2021-11-13,day
LI,40,0,0,0,40,96,147,204,2021-11-13,day
LT,20583,5785,10908,15491,20583,25676,30259,35381,2021-11-13,day
LU,1116,281,570,829,1116,1404,1663,1952,2021-11-13,day
LV,17601,0,3966,10425,17601,24777,31235,38453,2021-11-13,day
MT,100,0,32,64,100,136,168,204,2021-11-13,day
NL,48663,4579,19838,33492,48663,63833,77487,92746,2021-11-13,day
NO,6578,1610,3330,4868,6578,8288,9827,11546,2021-11-13,day
PL,49893,0,0,23093,49893,76693,100813,127769,2021-11-13,day
PT,5598,3789,4415,4976,5598,6221,6781,7408,2021-11-13,day
RO,84680,47080,60094,71740,84680,97619,109265,122280,2021-11-13,day
SE,5326,3337,4026,4642,5326,6010,6626,7315,2021-11-13,day
SI,16166,0,4926,10250,16166,22082,27406,33356,2021-11-13,day
SK,27114,0,2412,14113,27114,40114,51815,64892,2021-11-13,day
