location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,16953,9259,11922,14305,16953,19601,21984,24647,2021-05-01,day
BE,19433,0,4547,11598,19433,27268,34319,42199,2021-05-01,day
BG,12921,0,2826,7608,12921,18234,23016,28360,2021-05-01,day
CH,14279,8895,10759,12426,14279,16132,17800,19664,2021-05-01,day
CY,4903,1416,2623,3703,4903,6103,7184,8391,2021-05-01,day
CZ,28811,0,3412,15443,28811,42179,54211,67656,2021-05-01,day
DE,146434,80381,103244,123703,146434,169165,189624,212487,2021-05-01,day
DK,5923,2687,3807,4810,5923,7037,8039,9159,2021-05-01,day
EE,0,0,0,0,0,3925,7458,11405,2021-05-01,day
ES,61706,45015,50792,55962,61706,67450,72620,78397,2021-05-01,day
FI,1979,0,0,823,1979,3136,4177,5341,2021-05-01,day
FR,387924,219849,278026,330084,387924,445765,497823,556000,2021-05-01,day
GB,31966,0,0,7999,31966,55934,77506,101613,2021-05-01,day
GR,42206,29702,34030,37903,42206,46508,50381,54709,2021-05-01,day
HR,21147,7388,12151,16412,21147,25882,30144,34906,2021-05-01,day
HU,27877,0,0,9812,27877,45942,62201,80372,2021-05-01,day
IE,5435,958,2508,3894,5435,6976,8362,9912,2021-05-01,day
IS,35,0,0,13,35,57,77,99,2021-05-01,day
IT,103199,34852,58509,79678,103199,126719,147888,171545,2021-05-01,day
LI,16,0,0,0,16,56,93,133,2021-05-01,day
LT,7816,1853,3917,5764,7816,9868,11715,13779,2021-05-01,day
LU,1431,1144,1243,1332,1431,1530,1619,1718,2021-05-01,day
LV,4163,2873,3320,3719,4163,4607,5006,5452,2021-05-01,day
MT,328,0,0,0,328,1208,1999,2884,2021-05-01,day
NL,75947,69750,71895,73814,75947,78079,79998,82143,2021-05-01,day
NO,4012,1357,2276,3098,4012,4925,5748,6667,2021-05-01,day
PL,114052,78841,91029,101935,114052,126170,137076,149264,2021-05-01,day
PT,7649,4372,5506,6521,7649,8777,9792,10927,2021-05-01,day
RO,26453,7227,13882,19837,26453,33069,39024,45679,2021-05-01,day
SE,44599,26340,32660,38315,44599,50882,56538,62858,2021-05-01,day
SI,11439,4911,7171,9193,11439,13686,15707,17967,2021-05-01,day
SK,1511,0,0,0,1511,4529,7245,10281,2021-05-01,day
