location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,0,0,0,0,0,1638,3113,4761,2021-07-17,day
BE,3614,0,0,753,3614,6475,9050,11927,2021-07-17,day
BG,1166,274,582,859,1166,1472,1749,2057,2021-07-17,day
CH,1243,0,0,0,1243,3410,5360,7539,2021-07-17,day
CY,4124,0,1027,2494,4124,5753,7220,8860,2021-07-17,day
CZ,587,0,0,0,587,1485,2293,3197,2021-07-17,day
DE,0,0,0,0,0,5156,9796,14982,2021-07-17,day
DK,664,0,0,0,664,2488,4130,5964,2021-07-17,day
EE,12,0,0,0,12,289,538,816,2021-07-17,day
ES,77735,43996,55674,66124,77735,89346,99796,111475,2021-07-17,day
FI,1334,0,323,802,1334,1867,2346,2882,2021-07-17,day
FR,31610,0,0,157,31610,63062,91370,123005,2021-07-17,day
GB,86736,0,0,0,86736,204984,311412,430348,2021-07-17,day
GR,106,0,0,0,106,3904,7323,11143,2021-07-17,day
HR,295,0,0,0,295,1435,2461,3607,2021-07-17,day
HU,360,0,0,0,360,1123,1809,2576,2021-07-17,day
IE,2362,0,0,720,2362,4004,5481,7132,2021-07-17,day
IS,2,1,2,2,2,3,3,3,2021-07-17,day
IT,1465,0,0,0,1465,8019,13917,20509,2021-07-17,day
LI,11,0,1,5,11,16,21,26,2021-07-17,day
LT,0,0,0,0,0,590,1122,1716,2021-07-17,day
LU,464,196,289,372,464,556,639,732,2021-07-17,day
LV,444,0,0,0,444,1121,1730,2411,2021-07-17,day
MT,4,0,0,0,4,30,54,81,2021-07-17,day
NL,12054,0,0,5667,12054,18440,24188,30611,2021-07-17,day
NO,1284,0,75,647,1284,1920,2493,3134,2021-07-17,day
PL,340,0,0,0,340,1743,3005,4416,2021-07-17,day
PT,372,0,0,0,372,10214,19073,28973,2021-07-17,day
RO,0,0,0,0,0,502,955,1460,2021-07-17,day
SE,283,0,0,0,283,3551,6492,9780,2021-07-17,day
SI,0,0,0,0,0,291,554,847,2021-07-17,day
SK,47,0,0,0,47,289,507,750,2021-07-17,day
