,country,target_date,target
0,Fiji,2020-12-11,0.0
1,North Macedonia,2020-12-11,182.0
2,Afghanistan,2020-12-11,91.0
3,Monaco,2020-12-11,0.0
4,Tanzania,2020-12-11,0.0
5,Equatorial Guinea,2020-12-11,0.0
6,Jordan,2020-12-11,322.0
7,Congo (Brazzaville),2020-12-11,0.0
8,Uruguay,2020-12-11,7.0
9,Mozambique,2020-12-11,0.0
10,Serbia,2020-12-11,392.0
11,Colombia,2020-12-11,1225.0
12,Montenegro,2020-12-11,49.0
13,Slovenia,2020-12-11,343.0
14,China,2020-12-11,0.0
15,Malaysia,2020-12-11,28.0
16,Bolivia,2020-12-11,28.0
17,Romania,2020-12-11,938.0
18,Cyprus,2020-12-11,14.0
19,Singapore,2020-12-11,0.0
20,Latvia,2020-12-11,77.0
21,Jamaica,2020-12-11,7.0
22,Guyana,2020-12-11,0.0
23,Cameroon,2020-12-11,0.0
24,Switzerland,2020-12-11,728.0
25,Gambia,2020-12-11,0.0
26,Bahrain,2020-12-11,0.0
27,Norway,2020-12-11,14.0
28,Cabo Verde,2020-12-11,0.0
29,Taiwan*,2020-12-11,0.0
30,West Bank and Gaza,2020-12-11,140.0
31,Mexico,2020-12-11,4697.0
32,San Marino,2020-12-11,0.0
33,Bangladesh,2020-12-11,224.0
34,Cambodia,2020-12-11,0.0
35,Bulgaria,2020-12-11,889.0
36,Albania,2020-12-11,105.0
37,Sweden,2020-12-11,406.0
38,Ukraine,2020-12-11,1652.0
39,Poland,2020-12-11,3290.0
40,Ecuador,2020-12-11,140.0
41,Costa Rica,2020-12-11,126.0
42,Chad,2020-12-11,0.0
43,Azerbaijan,2020-12-11,294.0
44,Grenada,2020-12-11,0.0
45,Burma,2020-12-11,154.0
46,Kosovo,2020-12-11,98.0
47,Saint Kitts and Nevis,2020-12-11,0.0
48,Panama,2020-12-11,154.0
49,Kazakhstan,2020-12-11,14.0
50,India,2020-12-11,2884.0
51,Dominica,2020-12-11,0.0
52,Marshall Islands,2020-12-11,0.0
53,Trinidad and Tobago,2020-12-11,0.0
54,Nigeria,2020-12-11,7.0
55,Belize,2020-12-11,14.0
56,Somalia,2020-12-11,0.0
57,Solomon Islands,2020-12-11,0.0
58,Guinea,2020-12-11,0.0
59,Turkey,2020-12-11,1477.0
60,Laos,2020-12-11,0.0
61,Malta,2020-12-11,14.0
62,Ghana,2020-12-11,0.0
63,Saint Lucia,2020-12-11,0.0
64,Honduras,2020-12-11,28.0
65,Chile,2020-12-11,238.0
66,Cote d'Ivoire,2020-12-11,0.0
67,Czechia,2020-12-11,630.0
68,Tunisia,2020-12-11,301.0
69,Mali,2020-12-11,7.0
70,Zambia,2020-12-11,0.0
71,Benin,2020-12-11,0.0
72,Japan,2020-12-11,245.0
73,Comoros,2020-12-11,0.0
74,Italy,2020-12-11,4438.0
75,Mauritania,2020-12-11,28.0
76,El Salvador,2020-12-11,42.0
77,Lesotho,2020-12-11,0.0
78,Sudan,2020-12-11,42.0
79,Lebanon,2020-12-11,112.0
80,US,2020-12-11,17822.0
81,Israel,2020-12-11,56.0
82,Georgia,2020-12-11,259.0
83,Dominican Republic,2020-12-11,7.0
84,Maldives,2020-12-11,0.0
85,Mauritius,2020-12-11,0.0
86,Uzbekistan,2020-12-11,0.0
87,Finland,2020-12-11,63.0
88,Lithuania,2020-12-11,203.0
89,Djibouti,2020-12-11,0.0
90,"Korea, South",2020-12-11,35.0
91,United Kingdom,2020-12-11,2968.0
92,Central African Republic,2020-12-11,0.0
93,Syria,2020-12-11,42.0
94,Vanuatu,2020-12-11,0.0
95,Guinea-Bissau,2020-12-11,0.0
96,Nepal,2020-12-11,98.0
97,Australia,2020-12-11,0.0
98,Iran,2020-12-11,2058.0
99,Mongolia,2020-12-11,0.0
100,France,2020-12-11,2093.0
101,Sri Lanka,2020-12-11,14.0
102,Saint Vincent and the Grenadines,2020-12-11,0.0
103,Barbados,2020-12-11,0.0
104,Moldova,2020-12-11,133.0
105,Belarus,2020-12-11,56.0
106,United Arab Emirates,2020-12-11,21.0
107,Malawi,2020-12-11,0.0
108,New Zealand,2020-12-11,0.0
109,Andorra,2020-12-11,0.0
110,Gabon,2020-12-11,0.0
111,Holy See,2020-12-11,0.0
112,Papua New Guinea,2020-12-11,0.0
113,Ethiopia,2020-12-11,70.0
114,Angola,2020-12-11,7.0
115,Sao Tome and Principe,2020-12-11,0.0
116,Niger,2020-12-11,0.0
117,Vietnam,2020-12-11,0.0
118,Kenya,2020-12-11,84.0
119,Iceland,2020-12-11,0.0
120,Congo (Kinshasa),2020-12-11,0.0
121,Burundi,2020-12-11,0.0
122,Senegal,2020-12-11,7.0
123,Bahamas,2020-12-11,0.0
124,Austria,2020-12-11,735.0
125,Brazil,2020-12-11,4704.0
126,Pakistan,2020-12-11,406.0
127,Kuwait,2020-12-11,21.0
128,Timor-Leste,2020-12-11,0.0
129,Netherlands,2020-12-11,434.0
130,Liechtenstein,2020-12-11,0.0
131,Slovakia,2020-12-11,154.0
132,Qatar,2020-12-11,0.0
133,Iraq,2020-12-11,168.0
134,Uganda,2020-12-11,0.0
135,Bosnia and Herzegovina,2020-12-11,399.0
136,Paraguay,2020-12-11,105.0
137,Germany,2020-12-11,3206.0
138,South Africa,2020-12-11,994.0
139,Egypt,2020-12-11,147.0
140,Estonia,2020-12-11,14.0
141,Peru,2020-12-11,301.0
142,Russia,2020-12-11,3822.0
143,Bhutan,2020-12-11,0.0
144,Tajikistan,2020-12-11,0.0
145,Luxembourg,2020-12-11,0.0
146,Canada,2020-12-11,756.0
