,country,target_date,target
168,Hungary,2021-07-14,21.0
169,Eritrea,2021-07-14,0.0
170,Nicaragua,2021-07-14,0.0
171,Kyrgyzstan,2021-07-14,70.0
172,Eswatini,2021-07-14,7.0
173,Rwanda,2021-07-14,98.0
174,Brunei,2021-07-14,0.0
175,Cuba,2021-07-14,273.0
176,Portugal,2021-07-14,56.0
177,Saudi Arabia,2021-07-14,91.0
178,Yemen,2021-07-14,0.0
179,Oman,2021-07-14,84.0
180,Ireland,2021-07-14,0.0
181,Liberia,2021-07-14,0.0
182,Botswana,2021-07-14,0.0
183,Suriname,2021-07-14,35.0
184,Namibia,2021-07-14,497.0
185,Zimbabwe,2021-07-14,385.0
186,Croatia,2021-07-14,14.0
187,Burkina Faso,2021-07-14,0.0
188,Madagascar,2021-07-14,0.0
189,Greece,2021-07-14,49.0
190,Philippines,2021-07-14,672.0
191,South Sudan,2021-07-14,0.0
192,Guatemala,2021-07-14,245.0
