,country,target_date,target
0,Fiji,2021-06-19,0.0
1,North Macedonia,2021-06-19,0.0
2,Afghanistan,2021-06-19,546.0
3,Monaco,2021-06-19,0.0
4,Tanzania,2021-06-19,0.0
5,Equatorial Guinea,2021-06-19,0.0
6,Jordan,2021-06-19,70.0
7,Congo (Brazzaville),2021-06-19,0.0
8,Uruguay,2021-06-19,273.0
9,Mozambique,2021-06-19,7.0
10,Serbia,2021-06-19,35.0
11,Colombia,2021-06-19,4130.0
12,Montenegro,2021-06-19,7.0
13,Slovenia,2021-06-19,14.0
14,China,2021-06-19,0.0
15,Malaysia,2021-06-19,504.0
16,Bolivia,2021-06-19,616.0
17,Romania,2021-06-19,609.0
18,Cyprus,2021-06-19,0.0
19,Singapore,2021-06-19,0.0
20,Latvia,2021-06-19,49.0
21,Jamaica,2021-06-19,21.0
22,Guyana,2021-06-19,14.0
23,Cameroon,2021-06-19,0.0
24,Switzerland,2021-06-19,9.151902675841484
25,Gambia,2021-06-19,0.0
26,Bahrain,2021-06-19,91.0
27,Norway,2021-06-19,0.0
28,Cabo Verde,2021-06-19,7.0
29,Taiwan*,2021-06-19,133.0
30,West Bank and Gaza,2021-06-19,21.0
31,Mexico,2021-06-19,1169.0
32,San Marino,2021-06-19,0.0
33,Bangladesh,2021-06-19,378.0
34,Cambodia,2021-06-19,91.0
35,Bulgaria,2021-06-19,105.0
36,Albania,2021-06-19,0.0
37,Sweden,2021-06-19,0.0
38,Ukraine,2021-06-19,392.0
39,Poland,2021-06-19,322.0
40,Ecuador,2021-06-19,210.0
41,Costa Rica,2021-06-19,133.0
42,Chad,2021-06-19,0.0
43,Azerbaijan,2021-06-19,7.0
44,Grenada,2021-06-19,0.0
45,Burma,2021-06-19,14.0
46,Kosovo,2021-06-19,0.0
47,Saint Kitts and Nevis,2021-06-19,0.0
48,Panama,2021-06-19,35.0
49,Kazakhstan,2021-06-19,14.0
50,India,2021-06-19,16310.0
51,Dominica,2021-06-19,0.0
52,Marshall Islands,2021-06-19,0.0
53,Trinidad and Tobago,2021-06-19,63.0
