location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,1367,0,0,622,1367,2112,2783,3532,2021-07-17,day
BE,14520,3157,7090,10610,14520,18431,21951,25884,2021-07-17,day
BG,357,0,0,145,357,570,761,975,2021-07-17,day
CH,2515,1140,1616,2041,2515,2988,3414,3890,2021-07-17,day
CY,4837,60,1714,3193,4837,6481,7961,9614,2021-07-17,day
CZ,2852,478,1300,2035,2852,3669,4404,5226,2021-07-17,day
DE,4115,0,0,0,4115,9034,13461,18409,2021-07-17,day
DK,6037,0,1777,3795,6037,8279,10297,12552,2021-07-17,day
EE,384,124,214,294,384,474,554,644,2021-07-17,day
ES,107607,47047,68009,86767,107607,128448,147205,168167,2021-07-17,day
FI,1929,743,1153,1521,1929,2337,2704,3115,2021-07-17,day
FR,21502,0,0,0,21502,50094,75827,104585,2021-07-17,day
GB,432581,160575,254726,338975,432581,526188,610436,704587,2021-07-17,day
GR,12414,7862,9438,10848,12414,13981,15391,16967,2021-07-17,day
HR,354,0,0,144,354,564,754,965,2021-07-17,day
HU,203,0,0,0,203,436,646,881,2021-07-17,day
IE,6162,4603,5142,5625,6162,6699,7182,7722,2021-07-17,day
IS,2,1,1,2,2,2,3,3,2021-07-17,day
IT,15267,0,2590,8595,15267,21938,27943,34654,2021-07-17,day
LI,17,0,4,10,17,23,29,35,2021-07-17,day
LT,601,0,0,0,601,1296,1923,2622,2021-07-17,day
LU,823,31,306,551,823,1096,1341,1616,2021-07-17,day
LV,519,0,0,0,519,1050,1529,2064,2021-07-17,day
MT,44,0,0,0,44,120,188,264,2021-07-17,day
NL,9495,0,0,0,9495,23500,36106,50193,2021-07-17,day
NO,2535,2030,2205,2361,2535,2709,2865,3040,2021-07-17,day
PL,779,0,0,64,779,1494,2138,2857,2021-07-17,day
PT,18073,2114,7638,12581,18073,23565,28508,34032,2021-07-17,day
RO,597,0,46,307,597,886,1147,1438,2021-07-17,day
SE,2842,0,0,214,2842,5470,7835,10479,2021-07-17,day
SI,337,0,0,12,337,662,954,1281,2021-07-17,day
SK,105,0,0,0,105,272,424,592,2021-07-17,day
