location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,31011,15649,20966,25724,31011,36298,41056,46374,2021-11-06,day
BE,49497,20841,30760,39636,49497,59359,68235,78154,2021-11-06,day
BG,33671,17540,23123,28120,33671,39222,44218,49802,2021-11-06,day
CH,10438,5843,7434,8857,10438,12020,13443,15034,2021-11-06,day
CY,996,705,806,896,996,1097,1187,1288,2021-11-06,day
CZ,31475,436,11180,20794,31475,42157,51771,62515,2021-11-06,day
DE,136731,70199,93228,113835,136731,159627,180234,203264,2021-11-06,day
DK,11055,4484,6758,8794,11055,13317,15352,17627,2021-11-06,day
EE,12335,7396,9106,10636,12335,14035,15565,17274,2021-11-06,day
ES,16090,10667,12544,14224,16090,17956,19635,21512,2021-11-06,day
FI,3799,1825,2509,3120,3799,4479,5090,5774,2021-11-06,day
FR,39466,27592,31702,35380,39466,43552,47230,51340,2021-11-06,day
GB,286401,179284,216361,249538,286401,323263,356441,393518,2021-11-06,day
GR,25706,17370,20255,22837,25706,28574,31156,34041,2021-11-06,day
HR,24424,10120,15071,19501,24424,29346,33777,38728,2021-11-06,day
HU,19890,5728,10630,15016,19890,24764,29150,34052,2021-11-06,day
IE,15739,9186,11454,13484,15739,17994,20023,22291,2021-11-06,day
IS,602,237,363,476,602,728,841,967,2021-11-06,day
IT,30240,16464,21232,25499,30240,34980,39247,44015,2021-11-06,day
LI,40,0,0,0,40,87,129,177,2021-11-06,day
LT,20996,15085,17131,18962,20996,23031,24862,26908,2021-11-06,day
LU,1098,717,848,966,1098,1229,1347,1479,2021-11-06,day
LV,17594,9320,12184,14747,17594,20442,23004,25868,2021-11-06,day
MT,99,37,58,78,99,121,140,162,2021-11-06,day
NL,48728,22607,31648,39739,48728,57717,65807,74849,2021-11-06,day
NO,6597,3098,4310,5393,6597,7802,8885,10097,2021-11-06,day
PL,50840,16703,28519,39093,50840,62588,73162,84978,2021-11-06,day
PT,5497,4496,4842,5152,5497,5841,6151,6497,2021-11-06,day
RO,88765,51918,64672,76085,88765,101445,112858,125612,2021-11-06,day
SE,5399,3990,4478,4914,5399,5884,6320,6808,2021-11-06,day
SI,16045,6623,9884,12803,16045,19288,22207,25468,2021-11-06,day
SK,28594,10377,16682,22325,28594,34863,40505,46811,2021-11-06,day
