location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,4352,1979,2800,3535,4352,5168,5903,6724,2021-07-31,day
BE,14631,11283,12442,13479,14631,15783,16820,17979,2021-07-31,day
BG,763,276,445,596,763,931,1082,1250,2021-07-31,day
CH,6034,3385,4302,5122,6034,6946,7766,8683,2021-07-31,day
CY,5671,411,2232,3861,5671,7481,9110,10931,2021-07-31,day
CZ,3357,1998,2468,2889,3357,3824,4245,4715,2021-07-31,day
DE,22541,10900,14929,18535,22541,26547,30152,34182,2021-07-31,day
DK,5629,0,229,2787,5629,8471,11029,13888,2021-07-31,day
EE,1117,484,703,899,1117,1335,1531,1750,2021-07-31,day
ES,230205,91094,139245,182332,230205,278078,321165,369316,2021-07-31,day
FI,5330,2859,3715,4480,5330,6181,6946,7801,2021-07-31,day
FR,84851,0,0,36087,84851,133615,177503,226551,2021-07-31,day
GB,565325,237130,350730,452382,565325,678268,779920,893519,2021-07-31,day
GR,29684,8498,15831,22393,29684,36975,43536,50870,2021-07-31,day
HR,1850,903,1231,1524,1850,2176,2469,2797,2021-07-31,day
HU,795,201,407,591,795,999,1183,1388,2021-07-31,day
IE,9278,3314,5379,7226,9278,11331,13178,15242,2021-07-31,day
IS,253,212,226,239,253,267,280,294,2021-07-31,day
IT,28779,22104,24415,26482,28779,31077,33144,35455,2021-07-31,day
LI,18,0,0,8,18,28,37,47,2021-07-31,day
LT,1850,1304,1493,1662,1850,2038,2207,2396,2021-07-31,day
LU,769,0,191,465,769,1073,1347,1653,2021-07-31,day
LV,480,0,163,313,480,647,797,966,2021-07-31,day
MT,1731,123,679,1177,1731,2284,2782,3338,2021-07-31,day
NL,77702,19090,39378,57532,77702,97872,116025,136313,2021-07-31,day
NO,2832,1846,2187,2492,2832,3171,3477,3818,2021-07-31,day
PL,677,1,235,445,677,910,1119,1353,2021-07-31,day
PT,27950,17284,20976,24280,27950,31621,34925,38617,2021-07-31,day
RO,1162,491,723,931,1162,1393,1601,1833,2021-07-31,day
SE,2082,0,0,463,2082,3700,5156,6784,2021-07-31,day
SI,719,118,326,512,719,926,1113,1321,2021-07-31,day
SK,417,55,180,293,417,542,654,780,2021-07-31,day
