location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,18094,12960,14737,16328,18094,19861,21451,23229,2021-05-01,day
BE,28843,20692,23514,26038,28843,31648,34172,36993,2021-05-01,day
BG,10545,0,2522,6323,10545,14768,18569,22816,2021-05-01,day
CH,15943,10785,12570,14168,15943,17718,19315,21101,2021-05-01,day
CY,7948,4405,5631,6729,7948,9168,10265,11492,2021-05-01,day
CZ,9859,0,0,0,9859,19777,28704,38680,2021-05-01,day
DE,234170,174678,195270,213697,234170,254643,273070,293662,2021-05-01,day
DK,5468,191,2018,3652,5468,7284,8918,10744,2021-05-01,day
EE,4248,1709,2588,3374,4248,5121,5908,6786,2021-05-01,day
ES,67629,54658,59148,63165,67629,72093,76110,80600,2021-05-01,day
FI,2197,937,1373,1764,2197,2631,3021,3458,2021-05-01,day
FR,233604,131890,167097,198601,233604,268608,300112,335319,2021-05-01,day
GB,3337,0,0,0,3337,8335,12833,17859,2021-05-01,day
GR,22811,14792,17568,20051,22811,25571,28054,30830,2021-05-01,day
HR,23155,14697,17625,20245,23155,26066,28686,31613,2021-05-01,day
HU,33291,11758,19211,25881,33291,40701,47370,54823,2021-05-01,day
IE,4244,2980,3417,3809,4244,4679,5071,5508,2021-05-01,day
IS,88,14,39,62,88,113,136,162,2021-05-01,day
IT,117389,64825,83020,99300,117389,135478,151759,169953,2021-05-01,day
LI,59,0,14,35,59,82,103,127,2021-05-01,day
LT,7973,4966,6007,6938,7973,9007,9938,10979,2021-05-01,day
LU,1744,1227,1406,1566,1744,1921,2081,2260,2021-05-01,day
LV,5939,5389,5579,5749,5939,6128,6298,6488,2021-05-01,day
MT,276,0,0,0,276,558,812,1096,2021-05-01,day
NL,71622,57272,62239,66683,71622,76560,81005,85972,2021-05-01,day
NO,4043,2251,2871,3426,4043,4659,5214,5834,2021-05-01,day
PL,92423,0,29519,59316,92423,125530,155328,188628,2021-05-01,day
PT,6949,5100,5740,6313,6949,7586,8158,8799,2021-05-01,day
RO,25053,4292,11478,17909,25053,32198,38629,45815,2021-05-01,day
SE,55536,38500,44397,49673,55536,61399,66676,72573,2021-05-01,day
SI,7177,4320,5309,6194,7177,8161,9046,10035,2021-05-01,day
SK,3145,907,1682,2375,3145,3916,4609,5384,2021-05-01,day
