location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22048,11806,15351,18524,22048,25573,28745,32290,2021-10-30,day
BE,33356,13503,20375,26524,33356,40188,46337,53209,2021-10-30,day
BG,27842,13046,18168,22750,27842,32934,37517,42638,2021-10-30,day
CH,7900,3010,4703,6217,7900,9583,11098,12790,2021-10-30,day
CY,1035,296,552,781,1035,1290,1519,1775,2021-10-30,day
CZ,19340,0,5714,12168,19340,26511,32965,40178,2021-10-30,day
DE,103081,62363,76457,89069,103081,117093,129704,143798,2021-10-30,day
DK,7184,3619,4853,5957,7184,8412,9516,10750,2021-10-30,day
EE,9093,5663,6850,7913,9093,10274,11336,12523,2021-10-30,day
ES,14162,9715,11254,12632,14162,15692,17069,18608,2021-10-30,day
FI,3360,1864,2382,2845,3360,3875,4338,4856,2021-10-30,day
FR,34379,21499,25957,29946,34379,38811,42800,47259,2021-10-30,day
GB,337273,232209,268575,301117,337273,373428,405970,442336,2021-10-30,day
GR,21921,14742,17227,19451,21921,24392,26615,29100,2021-10-30,day
HR,14461,6562,9296,11742,14461,17179,19626,22360,2021-10-30,day
HU,10782,3580,6073,8304,10782,13261,15492,17985,2021-10-30,day
IE,14800,9213,11147,12877,14800,16722,18452,20386,2021-10-30,day
IS,474,241,321,393,474,554,626,706,2021-10-30,day
IT,21967,12301,15647,18640,21967,25293,28287,31632,2021-10-30,day
LI,38,0,0,0,38,93,143,198,2021-10-30,day
LT,19488,12968,15225,17244,19488,21732,23752,26009,2021-10-30,day
LU,896,612,710,798,896,994,1082,1181,2021-10-30,day
LV,17133,8293,11353,14091,17133,20176,22914,25974,2021-10-30,day
MT,96,6,37,65,96,127,155,187,2021-10-30,day
NL,33281,16304,22180,27439,33281,39123,44382,50258,2021-10-30,day
NO,3617,1347,2133,2836,3617,4398,5101,5886,2021-10-30,day
PL,31028,9008,16630,23450,31028,38606,45427,53049,2021-10-30,day
PT,5272,3843,4338,4781,5272,5764,6207,6701,2021-10-30,day
RO,106890,62976,78176,91778,106890,122003,135605,150805,2021-10-30,day
SE,4480,4032,4187,4326,4480,4634,4772,4927,2021-10-30,day
SI,10737,6023,7654,9115,10737,12359,13819,15451,2021-10-30,day
SK,19941,4460,9819,14613,19941,25268,30063,35421,2021-10-30,day
