location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,92777,41972,59558,75294,92777,110261,125997,143583,2021-12-04,day
BE,121125,71287,88538,103974,121125,138276,153712,170963,2021-12-04,day
BG,14601,8821,10822,12612,14601,16591,18381,20382,2021-12-04,day
CH,48185,22385,31315,39306,48185,57063,65054,73984,2021-12-04,day
CY,1721,0,374,1012,1721,2430,3068,3782,2021-12-04,day
CZ,131567,70406,91576,110520,131567,152615,171559,192729,2021-12-04,day
DE,416685,238130,299934,355238,416685,478131,533435,595239,2021-12-04,day
DK,28459,16028,20330,24181,28459,32737,36587,40890,2021-12-04,day
EE,4777,0,807,2687,4777,6866,8747,10849,2021-12-04,day
ES,64074,49494,54541,59056,64074,69091,73606,78653,2021-12-04,day
FI,7423,2981,4519,5895,7423,8952,10328,11866,2021-12-04,day
FR,156684,63890,96009,124751,156684,188618,217359,249478,2021-12-04,day
GB,301787,238828,260620,280121,301787,323453,342954,364746,2021-12-04,day
GR,47429,23292,31647,39123,47429,55735,63211,71565,2021-12-04,day
HR,33779,18902,24052,28659,33779,38898,43506,48655,2021-12-04,day
HU,71714,36281,48545,59520,71714,83907,94882,107146,2021-12-04,day
IE,31936,19709,23942,27729,31936,36144,39931,44164,2021-12-04,day
IS,1036,532,707,862,1036,1209,1365,1539,2021-12-04,day
IT,81162,47648,59249,69629,81162,92696,103076,114677,2021-12-04,day
LI,353,0,122,231,353,475,584,706,2021-12-04,day
LT,12105,4473,7115,9479,12105,14732,17096,19738,2021-12-04,day
LU,2182,1411,1678,1917,2182,2447,2686,2953,2021-12-04,day
LV,6490,0,0,2146,6490,10834,14744,19114,2021-12-04,day
MT,638,331,437,532,638,743,838,945,2021-12-04,day
NL,159101,83463,109644,133071,159101,185130,208557,234738,2021-12-04,day
NO,17936,10421,13022,15350,17936,20522,22849,25451,2021-12-04,day
PL,162545,88596,114192,137097,162545,187993,210898,236494,2021-12-04,day
PT,21581,13077,16020,18654,21581,24507,27141,30085,2021-12-04,day
RO,15607,0,0,0,15607,35708,53800,74018,2021-12-04,day
SE,10321,5756,7336,8750,10321,11892,13306,14886,2021-12-04,day
SI,19103,9174,12611,15686,19103,22520,25596,29033,2021-12-04,day
SK,80246,903,28366,52942,80246,107551,132126,159590,2021-12-04,day
