location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,21644,14795,17166,19287,21644,24002,26123,28494,2021-04-10,day
BE,28834,23262,25190,26916,28834,30751,32477,34406,2021-04-10,day
BG,30365,24386,26456,28308,30365,32423,34275,36345,2021-04-10,day
CH,8718,8542,8603,8658,8718,8779,8834,8895,2021-04-10,day
CY,2471,1768,2012,2229,2471,2713,2931,3174,2021-04-10,day
CZ,61432,47677,52438,56698,61432,66165,70425,75186,2021-04-10,day
DE,106480,83648,91551,98623,106480,114337,121409,129312,2021-04-10,day
DK,3623,3551,3576,3599,3623,3648,3671,3696,2021-04-10,day
EE,8248,6186,6900,7538,8248,8958,9596,10310,2021-04-10,day
ES,14457,14171,14270,14358,14457,14556,14644,14744,2021-04-10,day
FI,4538,3544,3888,4196,4538,4879,5187,5531,2021-04-10,day
FR,203429,155122,171843,186805,203429,220052,235014,251735,2021-04-10,day
GB,38770,26626,30829,34591,38770,42949,46710,50914,2021-04-10,day
GR,17571,13283,14767,16095,17571,19046,20374,21858,2021-04-10,day
HR,9071,7039,7742,8372,9071,9770,10399,11102,2021-04-10,day
HU,54555,44918,48254,51238,54555,57871,60856,64192,2021-04-10,day
IE,3968,3002,3337,3636,3968,4301,4600,4934,2021-04-10,day
IS,49,45,46,47,49,50,51,52,2021-04-10,day
IT,160400,108875,126710,142669,160400,178132,194091,211926,2021-04-10,day
LI,18,18,18,18,18,18,18,19,2021-04-10,day
LT,3926,3847,3874,3899,3926,3953,3977,4004,2021-04-10,day
LU,1343,1159,1223,1280,1343,1407,1464,1528,2021-04-10,day
LV,3333,2773,2967,3140,3333,3526,3700,3894,2021-04-10,day
MT,1268,1107,1163,1213,1268,1324,1374,1430,2021-04-10,day
NL,46106,36623,39905,42843,46106,49370,52307,55589,2021-04-10,day
NO,6519,4784,5384,5922,6519,7116,7653,8253,2021-04-10,day
PL,163163,128083,140226,151091,163163,175235,186100,198242,2021-04-10,day
PT,3233,2480,2741,2974,3233,3492,3725,3985,2021-04-10,day
RO,37538,26932,30603,33888,37538,41188,44473,48144,2021-04-10,day
SE,32592,23531,26667,29474,32592,35710,38516,41652,2021-04-10,day
SI,5727,5614,5653,5688,5727,5765,5800,5840,2021-04-10,day
SK,11527,9273,10053,10752,11527,12303,13001,13781,2021-04-10,day
