location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,3390,0,0,0,3390,6824,9915,13370,2021-05-22,day
BE,12235,0,3082,7418,12235,17053,21389,26234,2021-05-22,day
BG,4041,0,0,1435,4041,6647,8992,11614,2021-05-22,day
CH,11895,5708,7849,9766,11895,14024,15940,18081,2021-05-22,day
CY,2037,0,0,0,2037,4081,5920,7976,2021-05-22,day
CZ,5711,0,0,0,5711,11636,16969,22928,2021-05-22,day
DE,71610,33405,46629,58463,71610,84758,96591,109815,2021-05-22,day
DK,5692,1269,2800,4170,5692,7214,8584,10115,2021-05-22,day
EE,3327,1292,1997,2627,3327,4028,4658,5363,2021-05-22,day
ES,32775,0,10857,21240,32775,44311,54693,66296,2021-05-22,day
FI,1713,1080,1299,1496,1713,1931,2128,2347,2021-05-22,day
FR,116837,0,28872,70540,116837,163134,204803,251369,2021-05-22,day
GB,19107,8653,12272,15510,19107,22705,25943,29561,2021-05-22,day
GR,10379,2692,5353,7734,10379,13025,15406,18067,2021-05-22,day
HR,7504,89,2656,4953,7504,10056,12353,14919,2021-05-22,day
HU,8416,0,0,179,8416,16654,24068,32353,2021-05-22,day
IE,3622,2358,2796,3187,3622,4057,4449,4886,2021-05-22,day
IS,35,0,0,0,35,78,118,162,2021-05-22,day
IT,48828,0,12194,29547,48828,68108,85461,104854,2021-05-22,day
LI,15,0,0,0,15,39,60,83,2021-05-22,day
LT,4162,0,1342,2678,4162,5645,6981,8473,2021-05-22,day
LU,585,0,0,226,585,943,1265,1626,2021-05-22,day
LV,6584,5562,5916,6232,6584,6935,7252,7606,2021-05-22,day
MT,0,0,0,0,0,82,157,240,2021-05-22,day
NL,26038,0,8429,16770,26038,35306,43648,52970,2021-05-22,day
NO,2602,1475,1865,2214,2602,2990,3339,3729,2021-05-22,day
PL,11711,0,0,0,11711,45790,76462,110739,2021-05-22,day
PT,731,0,0,0,731,2090,3314,4682,2021-05-22,day
RO,2136,0,0,0,2136,8207,13672,19779,2021-05-22,day
SE,29815,18685,22538,25985,29815,33646,37093,40946,2021-05-22,day
SI,3590,1837,2444,2987,3590,4194,4737,5344,2021-05-22,day
SK,2392,600,1220,1775,2392,3008,3563,4183,2021-05-22,day
