location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,12335,7117,8923,10539,12335,14130,15746,17552,2021-10-02,day
BE,14322,12388,13057,13656,14322,14987,15586,16256,2021-10-02,day
BG,10820,8049,9008,9867,10820,11774,12632,13591,2021-10-02,day
CH,12125,0,3524,7599,12125,16652,20726,25279,2021-10-02,day
CY,1355,0,0,628,1355,2081,2735,3466,2021-10-02,day
CZ,3154,1716,2214,2659,3154,3649,4094,4592,2021-10-02,day
DE,60206,34028,43089,51198,60206,69215,77323,86385,2021-10-02,day
DK,2318,0,0,1080,2318,3556,4670,5914,2021-10-02,day
EE,3728,2496,2922,3304,3728,4152,4533,4960,2021-10-02,day
ES,17396,0,0,4465,17396,30328,41966,54973,2021-10-02,day
FI,1650,0,134,852,1650,2448,3167,3970,2021-10-02,day
FR,36564,0,0,13686,36564,59442,80033,103044,2021-10-02,day
GB,220508,144677,170925,194412,220508,246603,270091,296338,2021-10-02,day
GR,14790,8967,10983,12786,14790,16793,18597,20612,2021-10-02,day
HR,7963,4805,5898,6876,7963,9049,10027,11120,2021-10-02,day
HU,2967,1564,2049,2484,2967,3450,3884,4370,2021-10-02,day
IE,8375,2045,4236,6196,8375,10553,12513,14704,2021-10-02,day
IS,198,0,12,100,198,296,385,483,2021-10-02,day
IT,26796,11436,16753,21510,26796,32083,36840,42157,2021-10-02,day
LI,36,7,17,26,36,46,55,64,2021-10-02,day
LT,9388,5557,6883,8069,9388,10706,11893,13219,2021-10-02,day
LU,584,460,503,542,584,627,666,709,2021-10-02,day
LV,4133,2197,2867,3467,4133,4799,5399,6069,2021-10-02,day
MT,134,0,0,45,134,224,304,395,2021-10-02,day
NL,11907,5759,7887,9791,11907,14023,15927,18056,2021-10-02,day
NO,5056,0,1162,3007,5056,7106,8950,11012,2021-10-02,day
PL,5261,2749,3619,4396,5261,6125,6903,7772,2021-10-02,day
PT,5061,0,0,2215,5061,7908,10469,13332,2021-10-02,day
RO,44693,14934,25235,34452,44693,54935,64152,74453,2021-10-02,day
SE,5131,3456,4036,4554,5131,5707,6225,6805,2021-10-02,day
SI,6364,2455,3808,5019,6364,7709,8920,10273,2021-10-02,day
SK,5889,714,2505,4108,5889,7670,9273,11064,2021-10-02,day
