location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,2964,0,437,1634,2964,4295,5492,6830,2021-07-24,day
BE,13033,10319,11258,12099,13033,13968,14809,15748,2021-07-24,day
BG,502,449,467,484,502,520,537,555,2021-07-24,day
CH,2725,516,1280,1965,2725,3485,4170,4934,2021-07-24,day
CY,3952,0,407,2086,3952,5817,7496,9373,2021-07-24,day
CZ,3320,1999,2456,2866,3320,3775,4184,4642,2021-07-24,day
DE,16718,3958,8375,12327,16718,21109,25061,29478,2021-07-24,day
DK,8992,2278,4602,6681,8992,11302,13381,15705,2021-07-24,day
EE,498,108,243,363,498,632,752,887,2021-07-24,day
ES,141652,43759,77643,107963,141652,175340,205660,239544,2021-07-24,day
FI,2664,1286,1763,2190,2664,3139,3565,4042,2021-07-24,day
FR,41336,0,0,12126,41336,70546,96836,126216,2021-07-24,day
GB,558200,211939,331792,439040,558200,677360,784608,904461,2021-07-24,day
GR,28218,7009,14350,20919,28218,35517,42086,49427,2021-07-24,day
HR,1003,524,690,838,1003,1168,1317,1482,2021-07-24,day
HU,420,20,158,282,420,557,681,819,2021-07-24,day
IE,7704,3900,5217,6395,7704,9013,10191,11508,2021-07-24,day
IS,2,1,1,2,2,2,3,3,2021-07-24,day
IT,22383,0,7261,14424,22383,30342,37506,45511,2021-07-24,day
LI,13,0,0,5,13,22,29,37,2021-07-24,day
LT,991,0,163,555,991,1427,1819,2257,2021-07-24,day
LU,855,0,153,486,855,1224,1557,1928,2021-07-24,day
LV,417,25,161,282,417,552,674,809,2021-07-24,day
MT,1089,0,0,422,1089,1755,2356,3027,2021-07-24,day
NL,108325,47137,68316,87268,108325,129381,148333,169512,2021-07-24,day
NO,2236,1638,1845,2030,2236,2441,2626,2833,2021-07-24,day
PL,787,554,635,707,787,867,939,1020,2021-07-24,day
PT,29300,16562,20971,24916,29300,33683,37628,42037,2021-07-24,day
RO,757,190,386,562,757,952,1128,1324,2021-07-24,day
SE,2671,0,0,306,2671,5037,7166,9545,2021-07-24,day
SI,263,0,0,22,263,503,720,962,2021-07-24,day
SK,184,133,151,167,184,202,218,235,2021-07-24,day
