location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19377,14413,16132,17669,19377,21085,22623,24341,2021-03-27,day
BE,16819,16488,16602,16705,16819,16933,17035,17150,2021-03-27,day
BG,24624,19771,21451,22954,24624,26294,27797,29476,2021-03-27,day
CH,10167,7039,8121,9091,10167,11244,12213,13296,2021-03-27,day
CY,2465,2142,2254,2354,2465,2577,2677,2789,2021-03-27,day
CZ,73931,50702,58742,65937,73931,81926,89121,97161,2021-03-27,day
DE,64624,63340,63785,64182,64624,65066,65464,65908,2021-03-27,day
DK,5152,4300,4595,4859,5152,5446,5710,6005,2021-03-27,day
EE,10216,7144,8208,9159,10216,11274,12225,13289,2021-03-27,day
ES,17952,17605,17725,17832,17952,18072,18179,18299,2021-03-27,day
FI,4929,4143,4415,4659,4929,5199,5443,5715,2021-03-27,day
FR,166928,112587,131396,148228,166928,185629,202460,221270,2021-03-27,day
GB,34569,27054,29655,31982,34569,37155,39482,42083,2021-03-27,day
GR,16544,13434,14511,15474,16544,17615,18578,19655,2021-03-27,day
HR,6314,4926,5406,5836,6314,6791,7221,7701,2021-03-27,day
HU,54492,35661,42179,48011,54492,60972,66804,73322,2021-03-27,day
IE,3437,2651,2923,3167,3437,3707,3951,4223,2021-03-27,day
IS,13,13,13,13,13,13,13,13,2021-03-27,day
IT,154324,90402,112527,132326,154324,176321,196120,218246,2021-03-27,day
LI,20,20,20,20,20,21,21,21,2021-03-27,day
LT,3547,2988,3181,3355,3547,3740,3913,4107,2021-03-27,day
LU,1213,1047,1104,1155,1213,1270,1321,1378,2021-03-27,day
LV,3801,3146,3373,3576,3801,4026,4229,4456,2021-03-27,day
MT,1751,1513,1596,1669,1751,1833,1907,1990,2021-03-27,day
NL,40594,31894,34905,37600,40594,43588,46283,49294,2021-03-27,day
NO,6635,4889,5493,6034,6635,7236,7777,8381,2021-03-27,day
PL,148993,84395,106755,126763,148993,171223,191231,213590,2021-03-27,day
PT,3719,2811,3126,3407,3719,4031,4312,4627,2021-03-27,day
RO,37126,26713,30317,33542,37126,40709,43934,47538,2021-03-27,day
SE,27943,22425,24335,26044,27943,29842,31551,33461,2021-03-27,day
SI,4938,4101,4390,4650,4938,5226,5485,5775,2021-03-27,day
SK,14116,13836,13933,14019,14116,14212,14299,14396,2021-03-27,day
