location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19398,13528,15559,17378,19398,21418,23236,25268,2021-04-24,day
BE,25456,17908,20521,22859,25456,28054,30391,33004,2021-04-24,day
BG,15899,7456,10379,12994,15899,18804,21419,24341,2021-04-24,day
CH,18912,11913,14336,16504,18912,21321,23489,25911,2021-04-24,day
CY,4962,3188,3802,4352,4962,5573,6123,6737,2021-04-24,day
CZ,27307,0,7121,16683,27307,37931,47493,58180,2021-04-24,day
DE,149582,76506,101800,124434,149582,174730,197364,222658,2021-04-24,day
DK,5236,0,990,3001,5236,7470,9481,11729,2021-04-24,day
EE,1128,0,0,0,1128,2838,4376,6096,2021-04-24,day
ES,58981,32127,41422,49740,58981,68223,76541,85836,2021-04-24,day
FI,2312,0,664,1445,2312,3179,3959,4831,2021-04-24,day
FR,433219,196444,278400,351737,433219,514701,588038,669994,2021-04-24,day
GB,24862,11463,16101,20251,24862,29474,33624,38262,2021-04-24,day
GR,24765,17896,20274,22401,24765,27130,29257,31635,2021-04-24,day
HR,20336,11463,14534,17283,20336,23390,26139,29210,2021-04-24,day
HU,62620,1150,22427,41466,62620,83774,102813,124090,2021-04-24,day
IE,3015,1368,1938,2448,3015,3582,4092,4662,2021-04-24,day
IS,23,0,0,0,23,47,69,93,2021-04-24,day
IT,120805,84643,97160,108361,120805,133250,144451,156968,2021-04-24,day
LI,57,0,16,35,57,79,99,121,2021-04-24,day
LT,7669,3966,5248,6395,7669,8943,10090,11372,2021-04-24,day
LU,1440,1139,1243,1337,1440,1544,1638,1742,2021-04-24,day
LV,4493,3992,4166,4321,4493,4665,4820,4994,2021-04-24,day
MT,498,0,0,131,498,866,1196,1566,2021-04-24,day
NL,63510,48512,53704,58349,63510,68671,73317,78508,2021-04-24,day
NO,5944,3908,4613,5244,5944,6645,7276,7981,2021-04-24,day
PL,137499,103361,115178,125751,137499,149247,159820,171636,2021-04-24,day
PT,7077,4305,5264,6123,7077,8031,8889,9849,2021-04-24,day
RO,55901,24599,35434,45129,55901,66673,76368,87203,2021-04-24,day
SE,61400,43493,49692,55238,61400,67563,73109,79307,2021-04-24,day
SI,6327,3818,4686,5463,6327,7190,7967,8835,2021-04-24,day
SK,3209,0,0,1248,3209,5170,6935,8907,2021-04-24,day
