location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,99476,49002,66473,82106,99476,116847,132480,149951,2021-11-27,day
BE,99535,53779,69617,83789,99535,115281,129453,145291,2021-11-27,day
BG,14706,0,3737,8933,14706,20480,25676,31483,2021-11-27,day
CH,32644,14146,20549,26278,32644,39010,44739,51142,2021-11-27,day
CY,3323,2138,2548,2915,3323,3732,4099,4509,2021-11-27,day
CZ,103605,51823,69747,85785,103605,121425,137464,155388,2021-11-27,day
DE,349821,180311,238984,291487,349821,408155,460658,519331,2021-11-27,day
DK,26810,13292,17971,22158,26810,31462,35648,40327,2021-11-27,day
EE,5418,0,334,2742,5418,8094,10502,13194,2021-11-27,day
ES,41022,27877,32427,36498,41022,45545,49616,54166,2021-11-27,day
FI,7093,1371,3351,5124,7093,9062,10834,12814,2021-11-27,day
FR,115533,38229,64987,88930,115533,142135,166078,192836,2021-11-27,day
GB,272765,194731,221741,245911,272765,299618,323788,350798,2021-11-27,day
GR,47429,23307,31657,39128,47429,55730,63201,71550,2021-11-27,day
HR,32241,13262,19831,25709,32241,38772,44651,51220,2021-11-27,day
HU,59850,25352,37293,47978,59850,71721,82406,94347,2021-11-27,day
IE,30725,18495,22728,26517,30725,34934,38722,42956,2021-11-27,day
IS,1124,617,793,950,1124,1298,1455,1630,2021-11-27,day
IT,64021,35261,45216,54124,64021,73918,82825,92780,2021-11-27,day
LI,262,2,92,173,262,352,433,523,2021-11-27,day
LT,12813,5561,8071,10317,12813,15309,17556,20066,2021-11-27,day
LU,1740,1157,1359,1539,1740,1940,2120,2322,2021-11-27,day
LV,6152,0,0,1782,6152,10523,14456,18852,2021-11-27,day
MT,418,104,213,310,418,527,624,733,2021-11-27,day
NL,139294,64471,90370,113545,139294,165043,188218,214116,2021-11-27,day
NO,14150,7343,9699,11807,14150,16492,18600,20956,2021-11-27,day
PL,139717,67373,92414,114821,139717,164613,187020,212061,2021-11-27,day
PT,15907,11092,12759,14250,15907,17565,19056,20723,2021-11-27,day
RO,23079,0,0,1774,23079,44384,63559,84988,2021-11-27,day
SE,6118,3988,4725,5385,6118,6850,7510,8247,2021-11-27,day
SI,23175,14299,17371,20120,23175,26229,28979,32051,2021-11-27,day
SK,68765,0,14584,40249,68765,97280,122946,151627,2021-11-27,day
