location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22284,16189,18299,20187,22284,24382,26270,28379,2021-04-03,day
BE,31648,25423,27578,29506,31648,33791,35719,37873,2021-04-03,day
BG,30157,24144,26226,28088,30157,32227,34089,36171,2021-04-03,day
CH,8724,8552,8612,8665,8724,8783,8837,8896,2021-04-03,day
CY,2457,1593,1892,2160,2457,2755,3023,3322,2021-04-03,day
CZ,52336,29842,37628,44595,52336,60077,67045,74831,2021-04-03,day
DE,117132,79772,92703,104275,117132,129988,141560,154492,2021-04-03,day
DK,3620,3545,3571,3594,3620,3645,3668,3694,2021-04-03,day
EE,8826,6491,7299,8022,8826,9629,10353,11161,2021-04-03,day
ES,14456,14165,14266,14356,14456,14556,14646,14747,2021-04-03,day
FI,5165,4316,4610,4873,5165,5457,5720,6014,2021-04-03,day
FR,258631,194815,216904,236670,258631,280591,300357,322446,2021-04-03,day
GB,34991,27781,30277,32510,34991,37473,39706,42202,2021-04-03,day
GR,17024,13806,14920,15916,17024,18131,19128,20241,2021-04-03,day
HR,8940,6420,7292,8073,8940,9807,10587,11460,2021-04-03,day
HU,58704,41717,47597,52859,58704,64550,69812,75691,2021-04-03,day
IE,3560,2966,3172,3356,3560,3764,3948,4153,2021-04-03,day
IS,48,45,46,47,48,50,51,52,2021-04-03,day
IT,161028,108971,126990,143113,161028,178943,195066,213085,2021-04-03,day
LI,18,18,18,18,18,18,18,19,2021-04-03,day
LT,3927,3848,3876,3900,3927,3954,3978,4006,2021-04-03,day
LU,1347,1161,1226,1283,1347,1411,1469,1533,2021-04-03,day
LV,3317,2794,2975,3137,3317,3498,3660,3841,2021-04-03,day
MT,1273,1101,1161,1214,1273,1332,1386,1445,2021-04-03,day
NL,46314,37010,40230,43112,46314,49515,52397,55617,2021-04-03,day
NO,6328,4492,5128,5697,6328,6960,7529,8165,2021-04-03,day
PL,191016,113849,140559,164460,191016,217572,241473,268183,2021-04-03,day
PT,2954,2301,2527,2730,2954,3179,3381,3607,2021-04-03,day
RO,40691,28991,33041,36665,40691,44718,48342,52391,2021-04-03,day
SE,35126,27962,30442,32661,35126,37592,39811,42290,2021-04-03,day
SI,5721,5611,5649,5683,5721,5759,5793,5832,2021-04-03,day
SK,9401,6870,7746,8530,9401,10271,11055,11931,2021-04-03,day
