location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,4634,3129,3650,4116,4634,5152,5618,6138,2021-08-14,day
BE,18051,15914,16654,17316,18051,18786,19448,20188,2021-08-14,day
BG,3406,2750,2977,3181,3406,3632,3836,4063,2021-08-14,day
CH,7425,5559,6205,6783,7425,8067,8645,9290,2021-08-14,day
CY,7988,320,2974,5349,7988,10626,13001,15655,2021-08-14,day
CZ,1347,394,724,1019,1347,1675,1970,2300,2021-08-14,day
DE,37346,19010,25357,31036,37346,43656,49335,55682,2021-08-14,day
DK,6747,2654,4071,5339,6747,8156,9424,10841,2021-08-14,day
EE,1914,722,1135,1504,1914,2325,2694,3107,2021-08-14,day
ES,191682,74603,115128,151391,191682,231972,268235,308760,2021-08-14,day
FI,8857,4351,5910,7306,8857,10408,11804,13364,2021-08-14,day
FR,296099,59606,141464,214713,296099,377484,450733,532591,2021-08-14,day
GB,277098,50917,129206,199261,277098,354934,424989,503278,2021-08-14,day
GR,38859,21175,27296,32773,38859,44945,50422,56543,2021-08-14,day
HR,2481,1363,1750,2096,2481,2866,3212,3600,2021-08-14,day
HU,884,552,667,770,884,999,1102,1217,2021-08-14,day
IE,12052,5829,7983,9910,12052,14193,16121,18275,2021-08-14,day
IS,444,0,0,67,444,821,1161,1540,2021-08-14,day
IT,20943,5452,10814,15612,20943,26274,31072,36434,2021-08-14,day
LI,11,0,0,0,11,21,30,40,2021-08-14,day
LT,4461,2567,3222,3809,4461,5113,5700,6355,2021-08-14,day
LU,298,0,61,173,298,422,534,659,2021-08-14,day
LV,806,694,733,767,806,844,878,917,2021-08-14,day
MT,499,0,0,0,499,1294,2009,2808,2021-08-14,day
NL,29736,0,0,0,29736,72393,110785,153690,2021-08-14,day
NO,3960,1999,2678,3285,3960,4634,5242,5920,2021-08-14,day
PL,2125,1252,1554,1825,2125,2425,2696,2998,2021-08-14,day
PT,24177,13109,16940,20368,24177,27986,31414,35245,2021-08-14,day
RO,3089,1124,1804,2412,3089,3765,4374,5054,2021-08-14,day
SE,7328,840,3086,5095,7328,9561,11570,13816,2021-08-14,day
SI,1304,710,916,1100,1304,1509,1693,1899,2021-08-14,day
SK,769,167,375,562,769,976,1163,1371,2021-08-14,day
