location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,3809,1462,2274,3001,3809,4617,5344,6156,2021-08-07,day
BE,14249,11125,12206,13174,14249,15324,16292,17373,2021-08-07,day
BG,1962,219,822,1362,1962,2562,3101,3705,2021-08-07,day
CH,6284,3818,4672,5435,6284,7133,7897,8750,2021-08-07,day
CY,1843,0,0,0,1843,3691,5354,7213,2021-08-07,day
CZ,2714,931,1548,2100,2714,3328,3880,4497,2021-08-07,day
DE,29959,13874,19442,24424,29959,35495,40477,46044,2021-08-07,day
DK,7336,920,3141,5128,7336,9544,11532,13752,2021-08-07,day
EE,2478,626,1267,1841,2478,3116,3690,4331,2021-08-07,day
ES,230219,89248,138043,181706,230219,278732,322395,371191,2021-08-07,day
FI,7282,2734,4308,5717,7282,8847,10255,11830,2021-08-07,day
FR,199114,45168,98454,146136,199114,252092,299774,353060,2021-08-07,day
GB,386290,19985,146776,260232,386290,512348,625804,752594,2021-08-07,day
GR,35795,9105,18343,26610,35795,44980,53247,62486,2021-08-07,day
HR,2179,1118,1485,1813,2179,2544,2872,3240,2021-08-07,day
HU,886,606,703,789,886,982,1068,1165,2021-08-07,day
IE,9550,3663,5701,7524,9550,11576,13400,15437,2021-08-07,day
IS,453,0,0,123,453,783,1080,1412,2021-08-07,day
IT,34975,12912,20548,27382,34975,42567,49401,57038,2021-08-07,day
LI,10,0,0,1,10,19,28,37,2021-08-07,day
LT,3804,1818,2505,3120,3804,4487,5103,5790,2021-08-07,day
LU,659,0,189,412,659,906,1129,1378,2021-08-07,day
LV,915,184,437,663,915,1166,1393,1646,2021-08-07,day
MT,828,0,0,217,828,1440,1991,2606,2021-08-07,day
NL,43588,0,0,1341,43588,85835,123859,166352,2021-08-07,day
NO,2698,1514,1924,2290,2698,3105,3472,3881,2021-08-07,day
PL,1618,919,1161,1378,1618,1859,2076,2318,2021-08-07,day
PT,22333,7166,12416,17113,22333,27552,32250,37499,2021-08-07,day
RO,2007,661,1127,1544,2007,2470,2887,3353,2021-08-07,day
SE,4888,1356,2578,3673,4888,6104,7198,8420,2021-08-07,day
SI,877,231,455,655,877,1100,1300,1524,2021-08-07,day
SK,915,376,562,729,915,1100,1267,1453,2021-08-07,day
