location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,719,0,0,0,719,4106,7155,10562,2021-05-29,day
BE,16178,8589,11216,13566,16178,18790,21141,23768,2021-05-29,day
BG,1542,0,0,0,1542,4034,6277,8783,2021-05-29,day
CH,10400,3850,6117,8146,10400,12654,14682,16949,2021-05-29,day
CY,1716,0,0,10,1716,3422,4957,6673,2021-05-29,day
CZ,4553,0,0,0,4553,9643,14225,19345,2021-05-29,day
DE,27636,0,0,0,27636,59514,88205,120268,2021-05-29,day
DK,5897,1780,3205,4480,5897,7314,8589,10015,2021-05-29,day
EE,2551,347,1109,1792,2551,3309,3992,4755,2021-05-29,day
ES,30466,0,8709,19015,30466,41917,52223,63740,2021-05-29,day
FI,1956,1253,1496,1714,1956,2198,2416,2659,2021-05-29,day
FR,66147,0,0,21970,66147,110324,150085,194519,2021-05-29,day
GB,16769,0,5129,10642,16769,22895,28408,34570,2021-05-29,day
GR,12241,4529,7199,9587,12241,14894,17283,19952,2021-05-29,day
HR,1727,0,0,0,1727,5230,8382,11905,2021-05-29,day
HU,2844,0,0,0,2844,9025,14588,20805,2021-05-29,day
IE,196,0,0,0,196,978,1682,2468,2021-05-29,day
IS,0,0,0,0,0,31,59,90,2021-05-29,day
IT,31583,0,0,11803,31583,51362,69164,89059,2021-05-29,day
LI,9,0,0,0,9,27,44,62,2021-05-29,day
LT,5327,1730,2975,4089,5327,6564,7678,8924,2021-05-29,day
LU,764,225,412,579,764,950,1117,1303,2021-05-29,day
LV,2668,5,927,1752,2668,3584,4409,5331,2021-05-29,day
MT,4,0,0,0,4,73,135,205,2021-05-29,day
NL,31097,10500,17629,24009,31097,38185,44565,51695,2021-05-29,day
NO,4429,4092,4209,4313,4429,4545,4650,4767,2021-05-29,day
PL,12907,0,0,0,12907,32232,49625,69063,2021-05-29,day
PT,2946,1100,1739,2311,2946,3582,4154,4793,2021-05-29,day
RO,2137,0,0,0,2137,6242,9936,14065,2021-05-29,day
SE,26977,6910,13856,20071,26977,33883,40098,47044,2021-05-29,day
SI,2373,0,713,1499,2373,3247,4034,4913,2021-05-29,day
SK,1175,0,0,541,1175,1808,2379,3016,2021-05-29,day
