location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,10190,3399,5750,7853,10190,12527,14631,16981,2021-08-28,day
BE,28355,24266,25682,26948,28355,29763,31029,32444,2021-08-28,day
BG,9800,3122,5434,7502,9800,12098,14166,16478,2021-08-28,day
CH,35124,13847,21212,27802,35124,42446,49036,56401,2021-08-28,day
CY,2684,99,994,1794,2684,3574,4374,5269,2021-08-28,day
CZ,1884,938,1265,1558,1884,2209,2502,2830,2021-08-28,day
DE,75394,23396,41394,57500,75394,93288,109394,127392,2021-08-28,day
DK,15058,9851,11653,13266,15058,16850,18462,20264,2021-08-28,day
EE,3821,1451,2271,3005,3821,4637,5371,6191,2021-08-28,day
ES,157632,0,45107,98409,157632,216856,270158,329726,2021-08-28,day
FI,9156,1322,4034,6460,9156,11851,14277,16989,2021-08-28,day
FR,281332,200009,228158,253346,281332,309318,334506,362655,2021-08-28,day
GB,427494,154914,249263,333690,427494,521298,605725,700075,2021-08-28,day
GR,49790,39441,43023,46229,49790,53351,56557,60139,2021-08-28,day
HR,5386,2528,3518,4403,5386,6369,7255,8244,2021-08-28,day
HU,934,707,785,856,934,1012,1082,1161,2021-08-28,day
IE,25887,17334,20294,22943,25887,28830,31480,34440,2021-08-28,day
IS,1208,5,422,794,1208,1621,1994,2410,2021-08-28,day
IT,42296,29974,34239,38056,42296,46537,50353,54618,2021-08-28,day
LI,30,0,0,0,30,75,115,159,2021-08-28,day
LT,8136,4809,5960,6991,8136,9280,10311,11463,2021-08-28,day
LU,340,261,289,313,340,367,391,419,2021-08-28,day
LV,1830,862,1197,1497,1830,2164,2464,2799,2021-08-28,day
MT,882,0,137,490,882,1275,1628,2023,2021-08-28,day
NL,28562,0,0,11769,28562,45355,60469,77359,2021-08-28,day
NO,5403,2537,3529,4417,5403,6390,7277,8269,2021-08-28,day
PL,2788,1939,2233,2496,2788,3081,3344,3638,2021-08-28,day
PT,33878,19301,24346,28861,33878,38894,43409,48455,2021-08-28,day
RO,7252,3151,4570,5841,7252,8663,9933,11353,2021-08-28,day
SE,13219,4833,7736,10333,13219,16105,18702,21605,2021-08-28,day
SI,3884,1280,2181,2988,3884,4780,5586,6487,2021-08-28,day
SK,904,271,490,686,904,1122,1318,1537,2021-08-28,day
