location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,10366,3379,5797,7962,10366,12771,14935,17353,2021-05-15,day
BE,19461,12539,14935,17079,19461,21843,23987,26383,2021-05-15,day
BG,4145,0,0,402,4145,7887,11256,15021,2021-05-15,day
CH,17452,11355,13465,15354,17452,19550,21438,23548,2021-05-15,day
CY,3709,0,560,2052,3709,5367,6858,8525,2021-05-15,day
CZ,0,0,0,0,0,5560,10564,16156,2021-05-15,day
DE,127465,72074,91247,108404,127465,146527,163684,182857,2021-05-15,day
DK,5385,2491,3493,4389,5385,6381,7278,8279,2021-05-15,day
EE,2385,0,314,1295,2385,3474,4455,5551,2021-05-15,day
ES,44572,12767,23776,33627,44572,55517,65367,76376,2021-05-15,day
FI,1224,0,123,645,1224,1803,2325,2908,2021-05-15,day
FR,130048,0,0,35598,130048,224498,309506,404505,2021-05-15,day
GB,14538,3956,7619,10897,14538,18180,21458,25120,2021-05-15,day
GR,12061,5765,7944,9894,12061,14228,16178,18357,2021-05-15,day
HR,11455,5058,7273,9254,11455,13657,15638,17853,2021-05-15,day
HU,10825,0,0,1308,10825,20342,28908,38481,2021-05-15,day
IE,2708,791,1455,2049,2708,3368,3962,4625,2021-05-15,day
IS,30,0,0,0,30,75,116,161,2021-05-15,day
IT,86264,44725,59103,71969,86264,100559,113425,127803,2021-05-15,day
LI,37,0,0,12,37,62,84,109,2021-05-15,day
LT,3271,1159,1890,2544,3271,3997,4652,5383,2021-05-15,day
LU,886,137,396,628,886,1143,1375,1634,2021-05-15,day
LV,5088,3781,4233,4638,5088,5538,5943,6395,2021-05-15,day
MT,0,0,0,0,0,79,150,230,2021-05-15,day
NL,27149,4015,12023,19188,27149,35110,42275,50282,2021-05-15,day
NO,3120,1724,2207,2639,3120,3600,4032,4515,2021-05-15,day
PL,10920,0,0,0,10920,47271,79988,116550,2021-05-15,day
PT,3034,1518,2043,2512,3034,3555,4025,4549,2021-05-15,day
RO,6969,0,0,0,6969,15560,23292,31933,2021-05-15,day
SE,45643,40567,42324,43896,45643,47389,48961,50718,2021-05-15,day
SI,3333,350,1383,2307,3333,4360,5284,6317,2021-05-15,day
SK,1530,0,56,754,1530,2306,3004,3784,2021-05-15,day
