location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,17817,12275,14193,15909,17817,19724,21440,23358,2021-03-20,day
BE,15926,15603,15715,15815,15926,16038,16138,16250,2021-03-20,day
BG,18308,14824,16030,17109,18308,19507,20586,21792,2021-03-20,day
CH,8242,5803,6647,7402,8242,9081,9836,10680,2021-03-20,day
CY,2396,2073,2185,2285,2396,2508,2608,2720,2021-03-20,day
CZ,82217,50973,61788,71465,82217,92969,102647,113461,2021-03-20,day
DE,69223,48509,55679,62094,69223,76351,82767,89937,2021-03-20,day
DK,3835,3758,3784,3808,3835,3862,3886,3912,2021-03-20,day
EE,10967,8230,9177,10025,10967,11909,12756,13704,2021-03-20,day
ES,2,1,2,2,2,2,3,3,2021-03-20,day
FI,4732,3945,4217,4461,4732,5002,5246,5518,2021-03-20,day
FR,163061,97675,120307,140560,163061,185563,205815,228448,2021-03-20,day
GB,39389,30466,33555,36319,39389,42460,45224,48313,2021-03-20,day
GR,15680,10350,12195,13846,15680,17514,19164,21009,2021-03-20,day
HR,3160,3098,3119,3139,3160,3182,3201,3222,2021-03-20,day
HU,48304,33230,38448,43117,48304,53492,58161,63378,2021-03-20,day
IE,3578,2983,3189,3373,3578,3783,3967,4173,2021-03-20,day
IS,13,13,13,13,13,13,13,13,2021-03-20,day
IT,160367,93472,116627,137346,160367,183388,204107,227262,2021-03-20,day
LI,13,12,12,13,13,14,14,14,2021-03-20,day
LT,3284,2734,2924,3095,3284,3473,3643,3833,2021-03-20,day
LU,1137,982,1036,1084,1137,1191,1239,1293,2021-03-20,day
LV,3829,3198,3417,3612,3829,4047,4242,4461,2021-03-20,day
MT,1645,1415,1494,1566,1645,1724,1795,1875,2021-03-20,day
NL,35778,28234,30845,33182,35778,38374,40710,43322,2021-03-20,day
NO,4008,3423,3626,3807,4008,4209,4390,4592,2021-03-20,day
PL,108702,61550,77871,92476,108702,124929,139534,155855,2021-03-20,day
PT,4982,3710,4150,4544,4982,5420,5814,6254,2021-03-20,day
RO,30001,21607,24512,27112,30001,32889,35489,38394,2021-03-20,day
SE,28700,20721,23483,25954,28700,31446,33917,36679,2021-03-20,day
SI,5181,4278,4590,4870,5181,5492,5771,6084,2021-03-20,day
SK,14613,11772,12756,13636,14613,15591,16471,17454,2021-03-20,day
