location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14723,9452,11277,12909,14723,16537,18170,19995,2021-09-11,day
BE,28885,24785,26204,27474,28885,30296,31566,32985,2021-09-11,day
BG,21185,10252,14036,17422,21185,24947,28333,32117,2021-09-11,day
CH,30359,7051,15119,22338,30359,38379,45598,53666,2021-09-11,day
CY,3636,0,1152,2329,3636,4943,6120,7435,2021-09-11,day
CZ,3235,2255,2594,2898,3235,3573,3877,4216,2021-09-11,day
DE,108470,54058,72892,89745,108470,127195,144048,162883,2021-09-11,day
DK,7061,2868,4319,5618,7061,8504,9803,11254,2021-09-11,day
EE,5093,3138,3815,4420,5093,5766,6372,7049,2021-09-11,day
ES,67170,6783,27685,46389,67170,87951,106655,127557,2021-09-11,day
FI,5372,1084,2568,3896,5372,6847,8176,9660,2021-09-11,day
FR,172889,40694,86451,127396,172889,218382,259327,305084,2021-09-11,day
GB,455032,349818,386237,418825,455032,491240,523828,560246,2021-09-11,day
GR,38104,22198,27703,32630,38104,43577,48504,54010,2021-09-11,day
HR,3462,2720,2977,3207,3462,3718,3948,4205,2021-09-11,day
HU,910,0,0,0,910,1915,2819,3830,2021-09-11,day
IE,15212,0,4439,9542,15212,20881,25984,31686,2021-09-11,day
IS,830,277,468,640,830,1021,1192,1384,2021-09-11,day
IT,90549,66658,74928,82327,90549,98770,106170,114440,2021-09-11,day
LI,42,0,0,5,42,79,112,149,2021-09-11,day
LT,9329,6410,7421,8325,9329,10334,11238,12249,2021-09-11,day
LU,1186,490,731,947,1186,1426,1642,1883,2021-09-11,day
LV,1892,606,1052,1450,1892,2335,2733,3178,2021-09-11,day
MT,782,307,472,619,782,946,1093,1257,2021-09-11,day
NL,31808,21673,25181,28320,31808,35295,38434,41942,2021-09-11,day
NO,10594,2848,5529,7928,10594,13259,15658,18340,2021-09-11,day
PL,4362,2552,3178,3739,4362,4985,5546,6172,2021-09-11,day
PT,19854,13546,15730,17683,19854,22024,23978,26161,2021-09-11,day
RO,7301,467,2833,4949,7301,9653,11770,14136,2021-09-11,day
SE,9134,7622,8145,8614,9134,9655,10123,10647,2021-09-11,day
SI,4661,2378,3168,3875,4661,5446,6154,6944,2021-09-11,day
SK,2477,896,1443,1933,2477,3021,3511,4058,2021-09-11,day
