location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13436,10658,11620,12480,13436,14392,15252,16213,2021-10-16,day
BE,13959,12184,12798,13348,13959,14570,15119,15734,2021-10-16,day
BG,15228,10780,12319,13697,15228,16758,18136,19675,2021-10-16,day
CH,7668,0,26,3646,7668,11690,15310,19355,2021-10-16,day
CY,770,74,315,530,770,1010,1225,1466,2021-10-16,day
CZ,5907,2945,3970,4888,5907,6927,7844,8869,2021-10-16,day
DE,59151,43605,48986,53801,59151,64500,69315,74696,2021-10-16,day
DK,3735,1699,2404,3034,3735,4436,5066,5771,2021-10-16,day
EE,6254,3192,4252,5200,6254,7307,8256,9316,2021-10-16,day
ES,12891,0,2830,7596,12891,18186,22952,28278,2021-10-16,day
FI,2762,372,1199,1939,2762,3584,4324,5151,2021-10-16,day
FR,16396,0,0,4403,16396,28390,39185,51249,2021-10-16,day
GB,237052,176831,197676,216328,237052,257776,276428,297272,2021-10-16,day
GR,15582,14215,14688,15111,15582,16052,16475,16948,2021-10-16,day
HR,9274,5982,7121,8141,9274,10407,11427,12566,2021-10-16,day
HU,4420,2987,3483,3926,4420,4913,5357,5853,2021-10-16,day
IE,9480,8261,8683,9061,9480,9900,10277,10699,2021-10-16,day
IS,313,80,160,233,313,393,465,546,2021-10-16,day
IT,19268,5172,10051,14417,19268,24118,28484,33364,2021-10-16,day
LI,93,0,0,20,93,165,230,303,2021-10-16,day
LT,14551,8550,10627,12486,14551,16616,18475,20552,2021-10-16,day
LU,698,532,590,641,698,755,806,864,2021-10-16,day
LV,9452,4287,6075,7675,9452,11229,12829,14616,2021-10-16,day
MT,142,0,0,53,142,231,311,401,2021-10-16,day
NL,15179,7495,10155,12535,15179,17824,20204,22864,2021-10-16,day
NO,3223,0,209,1637,3223,4809,6237,7832,2021-10-16,day
PL,6186,0,1823,3889,6186,8482,10548,12858,2021-10-16,day
PT,4214,0,1445,2757,4214,5671,6982,8448,2021-10-16,day
RO,91285,40035,57774,73648,91285,108922,124795,142534,2021-10-16,day
SE,3777,2645,3036,3387,3777,4166,4517,4908,2021-10-16,day
SI,5906,3673,4446,5138,5906,6675,7367,8140,2021-10-16,day
SK,10664,1562,4713,7532,10664,13796,16615,19766,2021-10-16,day
