location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,51210,20720,31274,40718,51210,61703,71147,81700,2021-11-13,day
BE,54377,25074,35217,44293,54377,64461,73537,83680,2021-11-13,day
BG,29850,11513,17860,23540,29850,36160,41840,48187,2021-11-13,day
CH,14904,7652,10162,12408,14904,17400,19646,22156,2021-11-13,day
CY,1728,1290,1442,1577,1728,1879,2014,2166,2021-11-13,day
CZ,53662,17173,29803,41105,53662,66219,77521,90151,2021-11-13,day
DE,175065,93305,121605,146929,175065,203202,228525,256825,2021-11-13,day
DK,14193,6611,9235,11584,14193,16803,19151,21776,2021-11-13,day
EE,12122,7588,9157,10561,12122,13682,15086,16655,2021-11-13,day
ES,20030,8620,12569,16103,20030,23957,27491,31440,2021-11-13,day
FI,4836,2132,3068,3905,4836,5766,6604,7539,2021-11-13,day
FR,47891,34812,39339,43390,47891,52392,56444,60971,2021-11-13,day
GB,251890,152454,186872,217670,251890,286109,316908,351326,2021-11-13,day
GR,40472,17253,25290,32481,40472,48462,55654,63690,2021-11-13,day
HR,31374,11300,18248,24466,31374,38282,44499,51448,2021-11-13,day
HU,29417,10688,17171,22972,29417,35862,41663,48146,2021-11-13,day
IE,23071,11982,15820,19255,23071,26888,30323,34161,2021-11-13,day
IS,773,359,502,630,773,915,1043,1187,2021-11-13,day
IT,36000,21540,26545,31024,36000,40976,45455,50460,2021-11-13,day
LI,64,0,0,21,64,107,145,188,2021-11-13,day
LT,19329,13744,15677,17407,19329,21250,22980,24913,2021-11-13,day
LU,1185,826,950,1062,1185,1309,1420,1544,2021-11-13,day
LV,14255,4724,8023,10975,14255,17534,20486,23785,2021-11-13,day
MT,212,80,126,167,212,257,298,344,2021-11-13,day
NL,67362,32446,44532,55346,67362,79377,90192,102277,2021-11-13,day
NO,9487,3482,5560,7420,9487,11553,13413,15492,2021-11-13,day
PL,74489,11326,33189,52752,74489,96225,115789,137652,2021-11-13,day
PT,6806,4950,5593,6168,6806,7445,8020,8663,2021-11-13,day
RO,68238,31582,44270,55623,68238,80853,92206,104894,2021-11-13,day
SE,5552,3858,4444,4969,5552,6136,6660,7247,2021-11-13,day
SI,19906,9692,13227,16391,19906,23421,26584,30119,2021-11-13,day
SK,33669,15445,21753,27397,33669,39941,45585,51894,2021-11-13,day
