location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,12052,8194,9530,10724,12052,13380,14575,15910,2021-10-09,day
BE,13729,11511,12279,12966,13729,14492,15179,15947,2021-10-09,day
BG,11294,4551,6885,8973,11294,13614,15702,18036,2021-10-09,day
CH,8637,0,0,3328,8637,13946,18724,24063,2021-10-09,day
CY,734,0,23,360,734,1109,1446,1822,2021-10-09,day
CZ,3974,1857,2590,3245,3974,4702,5358,6090,2021-10-09,day
DE,50778,27593,35618,42799,50778,58756,65937,73962,2021-10-09,day
DK,3069,324,1274,2124,3069,4014,4864,5814,2021-10-09,day
EE,4695,2707,3395,4011,4695,5379,5995,6683,2021-10-09,day
ES,9958,0,0,2414,9958,17501,24290,31877,2021-10-09,day
FI,3490,1663,2295,2861,3490,4119,4685,5317,2021-10-09,day
FR,32906,0,9170,20413,32906,45398,56642,69207,2021-10-09,day
GB,224965,138613,168502,195248,224965,254682,281428,311318,2021-10-09,day
GR,14499,10720,12029,13199,14499,15800,16970,18279,2021-10-09,day
HR,8812,4282,5850,7253,8812,10370,11773,13341,2021-10-09,day
HU,3352,2001,2469,2887,3352,3817,4235,4702,2021-10-09,day
IE,9294,6107,7210,8197,9294,10392,11379,12482,2021-10-09,day
IS,179,0,49,110,179,248,309,378,2021-10-09,day
IT,22290,3811,10207,15931,22290,28649,34373,40769,2021-10-09,day
LI,2,0,0,0,2,27,50,75,2021-10-09,day
LT,11668,6792,8480,9990,11668,13346,14856,16544,2021-10-09,day
LU,580,472,510,543,580,617,651,688,2021-10-09,day
LV,6530,3029,4241,5325,6530,7735,8820,10032,2021-10-09,day
MT,109,0,0,24,109,195,272,358,2021-10-09,day
NL,11679,5487,7630,9548,11679,13810,15728,17871,2021-10-09,day
NO,3956,0,491,2132,3956,5780,7421,9255,2021-10-09,day
PL,7293,3675,4927,6048,7293,8538,9659,10911,2021-10-09,day
PT,4442,0,0,2044,4442,6840,8999,11411,2021-10-09,day
RO,70631,25641,41214,55149,70631,86114,100049,115622,2021-10-09,day
SE,4468,3258,3677,4052,4468,4885,5260,5679,2021-10-09,day
SI,6219,2995,4111,5110,6219,7328,8327,9442,2021-10-09,day
SK,6088,1381,3010,4468,6088,7707,9165,10794,2021-10-09,day
