location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,18612,8902,12262,15270,18612,21953,24961,28322,2021-09-04,day
BE,29058,25077,26455,27688,29058,30428,31662,33040,2021-09-04,day
BG,20789,8904,13018,16699,20789,24879,28560,32674,2021-09-04,day
CH,37066,15754,23131,29731,37066,44400,51001,58377,2021-09-04,day
CY,4103,266,1594,2783,4103,5423,6611,7939,2021-09-04,day
CZ,2753,1845,2160,2441,2753,3066,3347,3662,2021-09-04,day
DE,100179,35003,57562,77749,100179,122608,142795,165355,2021-09-04,day
DK,13766,8080,10048,11809,13766,15723,17484,19453,2021-09-04,day
EE,4695,2750,3423,4025,4695,5364,5966,6639,2021-09-04,day
ES,51077,0,0,10735,51077,91418,127727,168304,2021-09-04,day
FI,8157,1322,3688,5805,8157,10508,12625,14991,2021-09-04,day
FR,241948,155657,185525,212252,241948,271644,298371,328239,2021-09-04,day
GB,448391,354903,387262,416219,448391,480564,509520,541880,2021-09-04,day
GR,45515,33243,37491,41292,45515,49739,53540,57788,2021-09-04,day
HR,6977,3519,4716,5787,6977,8167,9238,10435,2021-09-04,day
HU,972,0,302,619,972,1325,1643,1998,2021-09-04,day
IE,25735,17141,20116,22778,25735,28693,31355,34330,2021-09-04,day
IS,1108,514,720,904,1108,1312,1496,1701,2021-09-04,day
IT,95161,76746,83120,88824,95161,101498,107202,113576,2021-09-04,day
LI,1,0,0,0,1,46,86,131,2021-09-04,day
LT,8116,5744,6565,7300,8116,8932,9666,10487,2021-09-04,day
LU,1068,351,599,821,1068,1314,1536,1784,2021-09-04,day
LV,2365,1283,1658,1993,2365,2738,3073,3448,2021-09-04,day
MT,648,0,71,345,648,952,1225,1531,2021-09-04,day
NL,35534,0,11333,22797,35534,48271,59735,72546,2021-09-04,day
NO,6539,0,462,3340,6539,9738,12617,15834,2021-09-04,day
PL,3016,2194,2479,2733,3016,3299,3554,3838,2021-09-04,day
PT,31783,27884,29234,30441,31783,33125,34332,35682,2021-09-04,day
RO,11260,4798,7034,9036,11260,13483,15485,17721,2021-09-04,day
SE,13788,5708,8505,11007,13788,16568,19071,21867,2021-09-04,day
SI,6029,2252,3559,4729,6029,7329,8498,9806,2021-09-04,day
SK,1383,639,896,1127,1383,1638,1869,2126,2021-09-04,day
