location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,17603,11833,13830,15617,17603,19588,21375,23372,2021-09-18,day
BE,16704,14859,15497,16069,16704,17339,17910,18549,2021-09-18,day
BG,13496,7568,9620,11456,13496,15536,17372,19424,2021-09-18,day
CH,30555,14947,20349,25184,30555,35926,40760,46162,2021-09-18,day
CY,1594,471,860,1207,1594,1980,2327,2716,2021-09-18,day
CZ,3816,2444,2919,3344,3816,4288,4712,5187,2021-09-18,day
DE,80156,40505,54230,66511,80156,93802,106083,119808,2021-09-18,day
DK,4568,3450,3837,4183,4568,4952,5299,5685,2021-09-18,day
EE,3583,2820,3084,3320,3583,3845,4081,4345,2021-09-18,day
ES,33524,0,0,14111,33524,52936,70408,89933,2021-09-18,day
FI,3863,2906,3238,3534,3863,4192,4488,4819,2021-09-18,day
FR,83497,60911,68729,75725,83497,91270,98266,106084,2021-09-18,day
GB,265452,215467,232769,248251,265452,282654,298136,315438,2021-09-18,day
GR,20254,10792,14067,16997,20254,23510,26441,29716,2021-09-18,day
HR,6719,4156,5043,5837,6719,7601,8394,9281,2021-09-18,day
HU,2214,1110,1492,1834,2214,2594,2936,3319,2021-09-18,day
IE,12405,3191,6380,9234,12405,15576,18430,21620,2021-09-18,day
IS,330,63,155,238,330,422,505,598,2021-09-18,day
IT,39312,26391,30864,34866,39312,43758,47760,52233,2021-09-18,day
LI,63,0,5,32,63,93,120,151,2021-09-18,day
LT,7090,5378,5971,6501,7090,7679,8209,8802,2021-09-18,day
LU,688,413,508,594,688,783,869,964,2021-09-18,day
LV,3518,1848,2426,2943,3518,4093,4611,5189,2021-09-18,day
MT,370,51,162,260,370,480,579,689,2021-09-18,day
NL,22248,19605,20520,21339,22248,23158,23977,24892,2021-09-18,day
NO,11890,4501,7059,9347,11890,14433,16722,19280,2021-09-18,day
PL,4087,2436,3007,3519,4087,4655,5166,5737,2021-09-18,day
PT,12288,3667,6651,9321,12288,15255,17925,20909,2021-09-18,day
RO,18596,8719,12138,15197,18596,21995,25055,28473,2021-09-18,day
SE,9366,8093,8534,8928,9366,9805,10199,10640,2021-09-18,day
SI,7472,3836,5095,6221,7472,8723,9849,11108,2021-09-18,day
SK,2484,0,815,1606,2484,3362,4152,5035,2021-09-18,day
