location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,5724,3772,4447,5052,5724,6396,7001,7677,2021-08-21,day
BE,26095,22313,23622,24794,26095,27397,28569,29878,2021-08-21,day
BG,431,0,0,0,431,1754,2946,4277,2021-08-21,day
CH,13653,5644,8416,10897,13653,16409,18890,21662,2021-08-21,day
CY,3875,786,1855,2812,3875,4938,5895,6964,2021-08-21,day
CZ,1643,670,1006,1308,1643,1978,2279,2616,2021-08-21,day
DE,33663,19440,24363,28769,33663,38558,42963,47886,2021-08-21,day
DK,6693,3848,4833,5714,6693,7672,8554,9538,2021-08-21,day
EE,2449,1043,1530,1965,2449,2932,3368,3854,2021-08-21,day
ES,104564,49691,68684,85680,104564,123447,140443,159436,2021-08-21,day
FI,12340,5865,8106,10112,12340,14569,16574,18816,2021-08-21,day
FR,217967,41990,102902,157407,217967,278527,333032,393944,2021-08-21,day
GB,283427,194014,224963,252657,283427,314197,341891,372840,2021-08-21,day
GR,42545,32134,35737,38962,42545,46128,49353,52957,2021-08-21,day
HR,3807,1746,2459,3098,3807,4516,5154,5868,2021-08-21,day
HU,911,592,703,802,911,1021,1120,1230,2021-08-21,day
IE,18014,9875,12692,15213,18014,20815,23336,26153,2021-08-21,day
IS,484,0,0,89,484,879,1235,1633,2021-08-21,day
IT,40542,20459,27410,33631,40542,47453,53673,60625,2021-08-21,day
LI,38,0,7,21,38,54,68,85,2021-08-21,day
LT,5838,3349,4210,4981,5838,6694,7465,8326,2021-08-21,day
LU,110,0,0,33,110,187,255,333,2021-08-21,day
LV,895,733,789,839,895,951,1001,1057,2021-08-21,day
MT,1070,273,549,796,1070,1345,1592,1867,2021-08-21,day
NL,22858,0,0,4380,22858,41336,57966,76552,2021-08-21,day
NO,5037,2532,3399,4175,5037,5899,6675,7543,2021-08-21,day
PL,2666,1758,2072,2353,2666,2978,3260,3574,2021-08-21,day
PT,24344,14791,18098,21057,24344,27632,30591,33897,2021-08-21,day
RO,4715,2068,2984,3804,4715,5626,6445,7362,2021-08-21,day
SE,10004,5668,7169,8512,10004,11496,12839,14340,2021-08-21,day
SI,1625,989,1209,1406,1625,1844,2040,2261,2021-08-21,day
SK,883,258,475,668,883,1098,1292,1508,2021-08-21,day
