location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,2034,0,0,0,2034,5135,7926,11045,2021-06-05,day
BE,13941,4226,7589,10598,13941,17284,20292,23655,2021-06-05,day
BG,895,0,0,0,895,2613,4158,5886,2021-06-05,day
CH,10225,1630,4605,7267,10225,13183,15845,18820,2021-06-05,day
CY,756,0,0,0,756,1986,3093,4330,2021-06-05,day
CZ,6826,0,0,1666,6826,11986,16630,21820,2021-06-05,day
DE,39153,0,0,11521,39153,66784,91653,119445,2021-06-05,day
DK,7093,3991,5064,6025,7093,8161,9121,10195,2021-06-05,day
EE,2007,0,293,1105,2007,2909,3720,4628,2021-06-05,day
ES,45755,24091,31590,38300,45755,53211,59921,67420,2021-06-05,day
FI,1562,304,739,1129,1562,1995,2385,2820,2021-06-05,day
FR,0,0,0,0,0,62014,117828,180202,2021-06-05,day
GB,30567,7751,15648,22715,30567,38419,45485,53383,2021-06-05,day
GR,13568,7220,9417,11383,13568,15752,17718,19915,2021-06-05,day
HR,2209,0,0,0,2209,6103,9608,13525,2021-06-05,day
HU,2413,0,0,0,2413,7004,11135,15752,2021-06-05,day
IE,1,0,0,0,1,642,1219,1864,2021-06-05,day
IS,2,0,0,0,2,33,61,92,2021-06-05,day
IT,11011,0,0,0,11011,28574,44381,62046,2021-06-05,day
LI,14,0,0,0,14,32,48,66,2021-06-05,day
LT,4856,556,2045,3376,4856,6336,7668,9156,2021-06-05,day
LU,599,0,52,311,599,888,1147,1437,2021-06-05,day
LV,1468,0,0,236,1468,2701,3810,5049,2021-06-05,day
MT,4,0,0,0,4,55,101,152,2021-06-05,day
NL,20860,0,2883,11399,20860,30322,38838,48354,2021-06-05,day
NO,5414,4698,4946,5168,5414,5660,5882,6130,2021-06-05,day
PL,14023,0,0,0,14023,33786,51573,71451,2021-06-05,day
PT,6841,2857,4236,5470,6841,8211,9445,10824,2021-06-05,day
RO,904,0,0,0,904,3325,5505,7940,2021-06-05,day
SE,20845,0,6192,13133,20845,28557,35497,43254,2021-06-05,day
SI,2003,0,501,1212,2003,2793,3505,4300,2021-06-05,day
SK,247,0,0,0,247,947,1578,2282,2021-06-05,day
