location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,2251,0,0,0,2251,4844,7179,9787,2021-06-12,day
BE,13190,1039,5245,9008,13190,17371,21135,25340,2021-06-12,day
BG,1813,0,95,909,1813,2717,3531,4440,2021-06-12,day
CH,8742,0,1624,4996,8742,12488,15859,19627,2021-06-12,day
CY,412,0,0,0,412,1868,3178,4642,2021-06-12,day
CZ,4919,0,0,504,4919,9334,13307,17748,2021-06-12,day
DE,15150,0,0,0,15150,39863,62106,86963,2021-06-12,day
DK,7342,4346,5383,6311,7342,8373,9300,10337,2021-06-12,day
EE,1270,0,69,638,1270,1901,2470,3105,2021-06-12,day
ES,45106,24218,31448,37918,45106,52294,58764,65994,2021-06-12,day
FI,1560,213,679,1097,1560,2024,2441,2907,2021-06-12,day
FR,52822,0,0,0,52822,111486,164286,223292,2021-06-12,day
GB,39880,25480,30464,34924,39880,44835,49295,54279,2021-06-12,day
GR,13093,5445,8092,10461,13093,15725,18094,20741,2021-06-12,day
HR,2012,0,0,0,2012,5162,7997,11165,2021-06-12,day
HU,3202,0,0,0,3202,6964,10350,14134,2021-06-12,day
IE,10009,4641,6499,8162,10009,11856,13519,15377,2021-06-12,day
IS,7,0,0,0,7,19,31,43,2021-06-12,day
IT,6691,0,0,0,6691,19557,31137,44078,2021-06-12,day
LI,15,0,0,7,15,22,29,37,2021-06-12,day
LT,2892,0,0,1282,2892,4501,5950,7569,2021-06-12,day
LU,665,0,104,370,665,960,1226,1522,2021-06-12,day
LV,3528,1673,2315,2889,3528,4166,4741,5383,2021-06-12,day
MT,33,0,0,3,33,63,90,120,2021-06-12,day
NL,22173,0,0,9930,22173,34415,45433,57747,2021-06-12,day
NO,3143,2377,2642,2879,3143,3406,3644,3909,2021-06-12,day
PL,6990,0,0,0,6990,21145,33885,48123,2021-06-12,day
PT,7936,5155,6118,6979,7936,8893,9755,10718,2021-06-12,day
RO,609,0,0,0,609,2618,4427,6447,2021-06-12,day
SE,19324,0,0,6409,19324,32239,43863,56853,2021-06-12,day
SI,1762,0,167,923,1762,2602,3357,4202,2021-06-12,day
SK,1002,0,25,488,1002,1516,1979,2496,2021-06-12,day
