location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14117,10338,11646,12817,14117,15417,16588,17896,2021-10-23,day
BE,19025,13325,15298,17063,19025,20987,22752,24725,2021-10-23,day
BG,16774,6377,9976,13196,16774,20352,23573,27171,2021-10-23,day
CH,6560,0,1107,3690,6560,9430,12014,14900,2021-10-23,day
CY,1019,0,0,422,1019,1615,2152,2752,2021-10-23,day
CZ,8786,3120,5081,6836,8786,10736,12491,14452,2021-10-23,day
DE,62988,47683,52980,57721,62988,68254,72995,78292,2021-10-23,day
DK,4793,2953,3590,4160,4793,5426,5996,6633,2021-10-23,day
EE,7791,3477,4970,6306,7791,9276,10612,12105,2021-10-23,day
ES,10925,1232,4587,7589,10925,14260,17262,20617,2021-10-23,day
FI,3255,0,579,1846,3255,4663,5931,7348,2021-10-23,day
FR,32193,11562,18703,25093,32193,39293,45683,52824,2021-10-23,day
GB,287763,219706,243263,264343,287763,311184,332263,355820,2021-10-23,day
GR,17165,15287,15937,16519,17165,17812,18393,19043,2021-10-23,day
HR,9882,8463,8954,9394,9882,10370,10810,11301,2021-10-23,day
HU,5840,3285,4170,4961,5840,6720,7511,8395,2021-10-23,day
IE,11078,6645,8179,9552,11078,12603,13976,15511,2021-10-23,day
IS,310,151,206,255,310,365,414,469,2021-10-23,day
IT,17804,6419,10360,13886,17804,21722,25248,29189,2021-10-23,day
LI,15,0,0,0,15,56,93,134,2021-10-23,day
LT,16625,10701,12752,14587,16625,18664,20499,22550,2021-10-23,day
LU,712,554,609,658,712,766,815,870,2021-10-23,day
LV,13547,6167,8721,11007,13547,16086,18372,20926,2021-10-23,day
MT,112,0,2,54,112,170,222,280,2021-10-23,day
NL,23137,10885,15126,18921,23137,27353,31148,35389,2021-10-23,day
NO,3023,86,1102,2012,3023,4033,4943,5959,2021-10-23,day
PL,16652,7535,10691,13515,16652,19790,22614,25769,2021-10-23,day
PT,4622,1715,2721,3622,4622,5623,6523,7530,2021-10-23,day
RO,104827,55455,72544,87837,104827,121818,137110,154200,2021-10-23,day
SE,4130,1342,2307,3171,4130,5090,5954,6919,2021-10-23,day
SI,6678,4655,5355,5982,6678,7374,8001,8701,2021-10-23,day
SK,9451,2096,4642,6920,9451,11982,14260,16806,2021-10-23,day
