location,forecast_UVA-Ensemble,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,14455,10163,11649,12978,14455,15933,17262,18748,2021-09-25,day
BE,14625,12973,13545,14056,14625,15193,15704,16276,2021-09-25,day
BG,10238,7072,8168,9148,10238,11327,12308,13403,2021-09-25,day
CH,15263,0,4953,9837,15263,20689,25572,31030,2021-09-25,day
CY,394,0,0,0,394,1209,1942,2762,2021-09-25,day
CZ,3021,1603,2094,2533,3021,3509,3948,4439,2021-09-25,day
DE,63927,35837,45560,54260,63927,73594,82294,92017,2021-09-25,day
DK,2486,0,63,1210,2486,3761,4909,6192,2021-09-25,day
EE,2965,2264,2506,2724,2965,3207,3424,3667,2021-09-25,day
ES,22601,0,0,7691,22601,37510,50929,65925,2021-09-25,day
FI,3563,2428,2821,3172,3563,3953,4305,4698,2021-09-25,day
FR,47372,0,1500,23230,47372,71515,93245,117528,2021-09-25,day
GB,199751,169081,179697,189196,199751,210306,219805,230421,2021-09-25,day
GR,15796,9717,11822,13704,15796,17888,19771,21876,2021-09-25,day
HR,8061,4017,5417,6669,8061,9453,10706,12106,2021-09-25,day
HU,2482,1083,1567,2000,2482,2963,3396,3881,2021-09-25,day
IE,6446,0,0,3017,6446,9874,12960,16409,2021-09-25,day
IS,148,0,18,80,148,217,279,349,2021-09-25,day
IT,32623,21339,25245,28740,32623,36506,40001,43907,2021-09-25,day
LI,18,0,0,0,18,38,56,76,2021-09-25,day
LT,7617,4666,5687,6602,7617,8633,9547,10568,2021-09-25,day
LU,569,315,403,481,569,656,735,823,2021-09-25,day
LV,3425,1704,2300,2833,3425,4017,4550,5146,2021-09-25,day
MT,252,0,87,165,252,339,417,505,2021-09-25,day
NL,14869,10415,11956,13336,14869,16402,17782,19324,2021-09-25,day
NO,6777,0,1520,4010,6777,9545,12035,14819,2021-09-25,day
PL,4288,2151,2891,3553,4288,5023,5685,6425,2021-09-25,day
PT,6894,0,1758,4191,6894,9598,12031,14750,2021-09-25,day
RO,26580,7542,14132,20028,26580,33131,39028,45617,2021-09-25,day
SE,7114,6277,6567,6826,7114,7401,7660,7950,2021-09-25,day
SI,7452,3691,4993,6158,7452,8746,9911,11213,2021-09-25,day
SK,3836,226,1475,2593,3836,5078,6196,7445,2021-09-25,day
