,country,target_date,forecast
0,Peru,2021-01-14,9025.535286789644
1,Burkina Faso,2021-01-14,375.131528155036
2,Uzbekistan,2021-01-14,142.12371565704234
3,Portugal,2021-01-14,38714.547595572134
4,Paraguay,2021-01-14,3719.7272272088303
5,Vietnam,2021-01-14,48.405240023274246
6,Germany,2021-01-14,78413.67780406168
7,Marshall Islands,2021-01-14,0.0
8,Nigeria,2021-01-14,5123.842647830301
9,Timor-Leste,2021-01-14,39.158346815433674
10,El Salvador,2021-01-14,1547.237719937315
11,Jamaica,2021-01-14,108.85755909723048
12,Belgium,2021-01-14,7897.814392569708
13,Georgia,2021-01-14,3705.7589350419585
14,Sri Lanka,2021-01-14,4146.7488871680325
15,United Arab Emirates,2021-01-14,11058.422532044933
16,Norway,2021-01-14,4628.381415539327
17,Comoros,2021-01-14,138.79713900072238
18,Senegal,2021-01-14,1243.1191759010326
19,Ghana,2021-01-14,663.8075645830031
20,Syria,2021-01-14,544.3277384990142
21,Namibia,2021-01-14,5959.744101210828
22,Guinea-Bissau,2021-01-14,1.183257651549411
23,Cabo Verde,2021-01-14,115.79975086136074
24,Sao Tome and Principe,2021-01-14,0.0
25,Armenia,2021-01-14,1324.1045202008972
26,Poland,2021-01-14,45518.211702234345
27,Uganda,2021-01-14,1109.4238505758403
28,Mauritius,2021-01-14,1.3952135175395597
29,Turkey,2021-01-14,50407.47931440454
30,Netherlands,2021-01-14,55254.00844422472
31,Equatorial Guinea,2021-01-14,52.036998074550866
32,Benin,2021-01-14,76.63167365083564
33,Morocco,2021-01-14,8432.440981558757
34,Bulgaria,2021-01-14,1979.0074158387724
35,Dominica,2021-01-14,0.11485169383669813
36,Hungary,2021-01-14,2868.8070610520663
37,Bangladesh,2021-01-14,5034.652035594743
38,Kosovo,2021-01-14,479.51078446553583
39,US,2021-01-14,1259265.6424188055
40,Chile,2021-01-14,15147.29249287676
41,Slovakia,2021-01-14,10449.080077074817
42,Russia,2021-01-14,189999.12933387188
43,Romania,2021-01-14,14862.662189312628
44,Eritrea,2021-01-14,686.8572339712582
45,Guinea,2021-01-14,92.00584977108701
46,Venezuela,2021-01-14,2531.5728797030024
47,Kazakhstan,2021-01-14,6393.954497354192
48,Togo,2021-01-14,50.507834155082946
49,Angola,2021-01-14,762.8854209545643
50,Iran,2021-01-14,36043.28442581184
51,Brazil,2021-01-14,235143.2507411344
52,Trinidad and Tobago,2021-01-14,24.745013051111528
53,Philippines,2021-01-14,6438.876514527772
54,Croatia,2021-01-14,2172.706591141701
55,Brunei,2021-01-14,0.560515626924257
56,Kenya,2021-01-14,80.40125315808109
57,Singapore,2021-01-14,124.28758497946546
58,Iraq,2021-01-14,4118.255953633343
59,Zambia,2021-01-14,2178.9882993385254
60,South Africa,2021-01-14,110387.22686573374
61,Rwanda,2021-01-14,1111.554890719026
62,Nepal,2021-01-14,2811.748077907192
63,Gambia,2021-01-14,0.881487778007795
64,Italy,2021-01-14,55153.14471152797
65,Japan,2021-01-14,33075.613804454624
66,Austria,2021-01-14,11766.862158834469
67,South Sudan,2021-01-14,368.0497304139262
68,Ecuador,2021-01-14,6795.516765146429
69,Honduras,2021-01-14,3445.07932852018
70,Libya,2021-01-14,2733.6854808942735
71,Tajikistan,2021-01-14,165.28936634899947
72,Cuba,2021-01-14,1612.5910996212242
73,Pakistan,2021-01-14,17351.95779078349
74,Dominican Republic,2021-01-14,8180.08790283784
75,Bahrain,2021-01-14,2289.403881105449
76,Iceland,2021-01-14,42.004349372715296
77,Albania,2021-01-14,2229.0576597139807
78,"Korea, South",2021-01-14,7530.963431117212
79,Lebanon,2021-01-14,22565.529428622045
80,Samoa,2021-01-14,0.0
81,Burundi,2021-01-14,38.499429976140846
82,Mali,2021-01-14,881.3918264300046
83,Vanuatu,2021-01-14,0.0
84,Mexico,2021-01-14,59089.07968062209
85,Bosnia and Herzegovina,2021-01-14,1555.8078372640448
86,Sudan,2021-01-14,541.6293410468752
87,Montenegro,2021-01-14,3395.5972332413003
88,United Kingdom,2021-01-14,446179.5868705716
89,San Marino,2021-01-14,278.24360326656097
90,Ethiopia,2021-01-14,2571.10007866002
91,West Bank and Gaza,2021-01-14,5107.889999997977
92,Saint Lucia,2021-01-14,88.14865175583463
93,Panama,2021-01-14,32131.85163372982
94,Antigua and Barbuda,2021-01-14,4.1282121955161415
95,Egypt,2021-01-14,15032.353599318652
96,Latvia,2021-01-14,6897.188921741901
97,Canada,2021-01-14,51459.98240138544
98,Israel,2021-01-14,55703.75493135973
99,Central African Republic,2021-01-14,31.194975323846847
100,Sweden,2021-01-14,48039.324969025794
101,Ireland,2021-01-14,16045.60832801745
102,Lesotho,2021-01-14,666.020572344341
103,Luxembourg,2021-01-14,115.38331773365644
104,Eswatini,2021-01-14,2375.7686336454226
105,Bhutan,2021-01-14,133.62175256092576
106,Madagascar,2021-01-14,185.13339269320568
107,Holy See,2021-01-14,0.0
108,Cote d'Ivoire,2021-01-14,755.2998849892683
109,India,2021-01-14,98330.71562280506
110,Uruguay,2021-01-14,5298.024987180666
111,Tanzania,2021-01-14,0.0
112,Saint Kitts and Nevis,2021-01-14,0.0
113,Indonesia,2021-01-14,58655.062376114074
114,Laos,2021-01-14,0.0
115,Oman,2021-01-14,0.0
116,Belarus,2021-01-14,12752.26484406041
117,Burma,2021-01-14,2273.937390392486
118,Malta,2021-01-14,945.2513404691381
119,Malaysia,2021-01-14,14995.463236034077
120,Australia,2021-01-14,126.5079775788945
121,Somalia,2021-01-14,0.0
122,Saudi Arabia,2021-01-14,863.5824577815947
123,Botswana,2021-01-14,411.3016727635095
124,Bolivia,2021-01-14,12583.040261213551
125,Afghanistan,2021-01-14,492.0100451926264
126,Argentina,2021-01-14,78930.02804159513
127,Papua New Guinea,2021-01-14,0.0
128,Slovenia,2021-01-14,13364.280605569831
129,Malawi,2021-01-14,361.75287861285597
130,Cameroon,2021-01-14,0.0
131,Grenada,2021-01-14,15.525167096663637
132,Sierra Leone,2021-01-14,85.15804750882353
133,Ukraine,2021-01-14,35732.02932377369
134,Thailand,2021-01-14,3264.661735768117
135,Barbados,2021-01-14,49.632539994284116
136,Mongolia,2021-01-14,413.9463991628561
137,Liechtenstein,2021-01-14,161.24447226396023
138,Bahamas,2021-01-14,76.50369625669555
139,Kyrgyzstan,2021-01-14,1144.5843150623405
140,Serbia,2021-01-14,10066.932815912936
141,Fiji,2021-01-14,0.0
142,Switzerland,2021-01-14,19318.36543655576
143,Jordan,2021-01-14,6434.5697897182545
144,Costa Rica,2021-01-14,6536.762889356643
145,Gabon,2021-01-14,101.77682027781702
146,Moldova,2021-01-14,2515.058725606912
147,Spain,2021-01-14,93797.43244103552
148,Denmark,2021-01-14,9567.021170734195
149,Kuwait,2021-01-14,1247.196239560115
150,Maldives,2021-01-14,274.65816205834926
151,Czechia,2021-01-14,102984.36764496681
152,Congo (Brazzaville),2021-01-14,295.90734099161637
153,France,2021-01-14,97372.48947174242
154,Congo (Kinshasa),2021-01-14,1714.4304941989503
155,Monaco,2021-01-14,137.71250319350077
156,Djibouti,2021-01-14,54.240981466259655
157,Chad,2021-01-14,235.1777810665476
158,Algeria,2021-01-14,1984.7393636803172
159,Niger,2021-01-14,347.0542265671925
160,Liberia,2021-01-14,6.53801068195412
161,Greece,2021-01-14,3771.978962155874
162,Tunisia,2021-01-14,13862.447254212806
163,Cyprus,2021-01-14,6561.307519800608
164,Solomon Islands,2021-01-14,0.0
165,Colombia,2021-01-14,75323.3388294687
166,Finland,2021-01-14,826.0327111942897
167,Estonia,2021-01-14,5337.196632060473
168,Mauritania,2021-01-14,1264.9023196103608
169,Seychelles,2021-01-14,89.92833214123954
170,Haiti,2021-01-14,315.8344659109407
171,Andorra,2021-01-14,608.2156653735219
172,Qatar,2021-01-14,1688.463118457934
173,Belize,2021-01-14,5.420689226735703
174,Taiwan*,2021-01-14,13.407893220887786
175,Guatemala,2021-01-14,4015.4084004348842
176,Nicaragua,2021-01-14,82.0288973342067
177,North Macedonia,2021-01-14,1639.1138407633844
178,Zimbabwe,2021-01-14,1476.9246365850631
179,Lithuania,2021-01-14,13989.606640436978
180,Azerbaijan,2021-01-14,1154.3859375834
181,Guyana,2021-01-14,0.0
182,Mozambique,2021-01-14,636.7041828037727
183,Cambodia,2021-01-14,8.278596187644496
184,Saint Vincent and the Grenadines,2021-01-14,17.103694515964264
185,China,2021-01-14,554.466743651501
186,Yemen,2021-01-14,5.190709965647784
187,Suriname,2021-01-14,577.8027452143924
188,New Zealand,2021-01-14,42.07594007553098
