location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13088,10015,11079,12031,13088,14144,15097,16161,2021-05-01,day
BE,22749,15712,18148,20329,22749,25170,27351,29787,2021-05-01,day
BG,6784,3063,4351,5504,6784,8063,9216,10504,2021-05-01,day
CH,11957,8374,9615,10725,11957,13190,14300,15540,2021-05-01,day
CY,6907,6576,6690,6793,6907,7020,7123,7237,2021-05-01,day
CZ,9845,0,2384,5921,9845,13769,17306,21256,2021-05-01,day
DE,156012,141469,146504,151011,156012,161014,165521,170556,2021-05-01,day
DK,5023,3620,4106,4540,5023,5505,5940,6425,2021-05-01,day
EE,1760,1157,1366,1553,1760,1967,2154,2362,2021-05-01,day
ES,53510,35423,41684,47289,53510,59730,65336,71597,2021-05-01,day
FI,1139,652,821,971,1139,1306,1457,1625,2021-05-01,day
FR,212078,170440,184854,197759,212078,226398,239303,253717,2021-05-01,day
GB,14786,0,3231,8708,14786,20864,26342,32460,2021-05-01,day
GR,17864,16572,17019,17420,17864,18309,18709,19157,2021-05-01,day
HR,16663,14800,15445,16022,16663,17303,17881,18525,2021-05-01,day
HU,14949,5427,8723,11674,14949,18224,21175,24471,2021-05-01,day
IE,2714,1508,1925,2299,2714,3128,3502,3919,2021-05-01,day
IS,33,16,22,27,33,38,44,49,2021-05-01,day
IT,78215,66012,70236,74018,78215,82411,86193,90418,2021-05-01,day
LI,79,68,72,75,79,83,87,91,2021-05-01,day
LT,8240,7442,7718,7966,8240,8515,8763,9039,2021-05-01,day
LU,942,536,676,802,942,1082,1207,1348,2021-05-01,day
LV,4045,3664,3796,3914,4045,4177,4295,4427,2021-05-01,day
MT,87,0,0,21,87,153,212,279,2021-05-01,day
NL,52550,49534,50578,51512,52550,53587,54522,55566,2021-05-01,day
NO,2606,1405,1821,2193,2606,3019,3392,3807,2021-05-01,day
PL,53420,23295,33724,43060,53420,63780,73116,83544,2021-05-01,day
PT,3188,1321,1967,2546,3188,3831,4409,5056,2021-05-01,day
RO,12891,10277,11182,11992,12891,13790,14600,15505,2021-05-01,day
SE,33448,28917,30485,31890,33448,35006,36410,37979,2021-05-01,day
SI,4454,3675,3945,4186,4454,4722,4963,5232,2021-05-01,day
SK,2610,1252,1722,2143,2610,3077,3498,3968,2021-05-01,day
