location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19629,0,1214,9943,19629,29314,38043,47792,2021-03-20,day
BE,19917,12304,14939,17298,19917,22535,24894,27530,2021-03-20,day
BG,18905,15936,16964,17884,18905,19926,20846,21874,2021-03-20,day
CH,4396,0,0,1682,4396,7109,9554,12286,2021-03-20,day
CY,3140,2319,2603,2858,3140,3422,3677,3961,2021-03-20,day
CZ,86248,55494,66140,75671,86248,96825,106356,117002,2021-03-20,day
DE,66269,35487,46143,55682,66269,76855,86395,97050,2021-03-20,day
DK,5167,0,0,618,5167,9717,13817,18397,2021-03-20,day
EE,11163,9330,9964,10532,11163,11793,12361,12996,2021-03-20,day
ES,3597,0,0,0,3597,23737,41885,62157,2021-03-20,day
FI,5281,4165,4552,4897,5281,5665,6011,6397,2021-03-20,day
FR,165229,122870,137534,150661,165229,179797,192924,207588,2021-03-20,day
GB,30876,15747,20984,25673,30876,36078,40767,46004,2021-03-20,day
GR,17833,13020,14686,16178,17833,19488,20980,22646,2021-03-20,day
HR,4566,0,0,0,4566,14922,24253,34677,2021-03-20,day
HU,59372,48109,52008,55499,59372,63246,66736,70635,2021-03-20,day
IE,3175,421,1375,2228,3175,4123,4976,5930,2021-03-20,day
IS,16,0,1,8,16,24,31,39,2021-03-20,day
IT,172230,140002,151159,161146,172230,183314,193302,204458,2021-03-20,day
LI,15,0,0,0,15,32,48,66,2021-03-20,day
LT,3333,0,0,0,3333,9910,15837,22457,2021-03-20,day
LU,1002,0,0,422,1002,1582,2105,2689,2021-03-20,day
LV,3280,2013,2452,2844,3280,3716,4108,4546,2021-03-20,day
MT,2335,1634,1876,2094,2335,2576,2794,3037,2021-03-20,day
NL,38582,27222,31154,34675,38582,42489,46009,49942,2021-03-20,day
NO,5873,4503,4977,5402,5873,6345,6769,7244,2021-03-20,day
PL,126014,102759,110809,118016,126014,134011,141218,149268,2021-03-20,day
PT,2270,0,0,488,2270,4052,5658,7452,2021-03-20,day
RO,33208,26010,28502,30733,33208,35684,37915,40407,2021-03-20,day
SE,22109,0,7487,14418,22109,29800,36731,44473,2021-03-20,day
SI,4296,1692,2594,3401,4296,5192,5999,6901,2021-03-20,day
SK,14632,10163,11710,13095,14632,16169,17554,19101,2021-03-20,day
