location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,13982,10272,11556,12706,13982,15258,16407,17692,2021-03-06,day
BE,15769,9137,11433,13488,15769,18050,20106,22401,2021-03-06,day
BG,9732,6720,7763,8696,9732,10768,11701,12744,2021-03-06,day
CH,5641,0,0,2151,5641,9132,12277,15790,2021-03-06,day
CY,1304,560,818,1048,1304,1560,1790,2047,2021-03-06,day
CZ,80860,50087,60739,70276,80860,91443,100980,111633,2021-03-06,day
DE,44942,13110,24129,33994,44942,55889,65754,76773,2021-03-06,day
DK,2900,1254,1824,2334,2900,3466,3976,4546,2021-03-06,day
EE,7779,6088,6673,7197,7779,8361,8885,9471,2021-03-06,day
ES,23622,0,0,928,23622,46316,66767,89611,2021-03-06,day
FI,3969,3034,3358,3647,3969,4291,4581,4905,2021-03-06,day
FR,87920,49967,63105,74867,87920,100972,112734,125872,2021-03-06,day
GB,38505,19126,25834,31840,38505,45169,51175,57883,2021-03-06,day
GR,10989,8689,9486,10198,10989,11780,12493,13289,2021-03-06,day
HR,2382,0,0,980,2382,3784,5047,6458,2021-03-06,day
HU,27359,22002,23856,25516,27359,29201,30861,32716,2021-03-06,day
IE,3768,0,38,1806,3768,5730,7498,9473,2021-03-06,day
IS,5,0,0,0,5,21,35,51,2021-03-06,day
IT,111635,78234,89796,100148,111635,123122,133473,145035,2021-03-06,day
LI,9,0,0,0,9,27,44,62,2021-03-06,day
LT,4223,715,1929,3016,4223,5429,6516,7730,2021-03-06,day
LU,1094,0,0,493,1094,1695,2237,2842,2021-03-06,day
LV,4614,3777,4066,4326,4614,4902,5161,5451,2021-03-06,day
MT,1483,980,1154,1310,1483,1656,1812,1986,2021-03-06,day
NL,29882,14168,19608,24478,29882,35286,40156,45595,2021-03-06,day
NO,2225,1017,1435,1810,2225,2640,3014,3432,2021-03-06,day
PL,67787,48062,54890,61003,67787,74570,80683,87511,2021-03-06,day
PT,4265,0,263,2160,4265,6369,8266,10384,2021-03-06,day
RO,22009,14490,17093,19423,22009,24595,26925,29528,2021-03-06,day
SE,20704,0,5349,12627,20704,28780,36058,44188,2021-03-06,day
SI,3849,1567,2357,3064,3849,4634,5341,6131,2021-03-06,day
SK,15273,11421,12755,13948,15273,16598,17792,19125,2021-03-06,day
