location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22895,19629,20760,21772,22895,24018,25030,26160,2021-04-10,day
BE,36270,28817,31397,33706,36270,38833,41143,43723,2021-04-10,day
BG,25025,21965,23024,23973,25025,26078,27026,28085,2021-04-10,day
CH,10681,6925,8225,9389,10681,11972,13136,14436,2021-04-10,day
CY,2504,2123,2255,2373,2504,2635,2753,2884,2021-04-10,day
CZ,27650,15744,19865,23555,27650,31745,35435,39556,2021-04-10,day
DE,111167,96313,101455,106058,111167,116275,120878,126020,2021-04-10,day
DK,4194,2739,3243,3694,4194,4694,5145,5648,2021-04-10,day
EE,5415,4775,4997,5195,5415,5636,5834,6056,2021-04-10,day
ES,43904,25071,31591,37427,43904,50381,56218,62738,2021-04-10,day
FI,3287,2783,2958,3114,3287,3461,3617,3791,2021-04-10,day
FR,308650,274649,286419,296956,308650,320343,330880,342650,2021-04-10,day
GB,27326,9093,15405,21056,27326,33597,39248,45560,2021-04-10,day
GR,20425,19239,19650,20017,20425,20833,21201,21612,2021-04-10,day
HR,14861,13003,13646,14222,14861,15501,16077,16720,2021-04-10,day
HU,56562,47364,50548,53399,56562,59725,62576,65760,2021-04-10,day
IE,3483,2229,2663,3052,3483,3915,4303,4738,2021-04-10,day
IS,63,46,52,57,63,69,74,80,2021-04-10,day
IT,141624,129081,133423,137310,141624,145938,149825,154167,2021-04-10,day
LI,26,13,17,21,26,30,34,38,2021-04-10,day
LT,5748,4895,5190,5455,5748,6042,6306,6601,2021-04-10,day
LU,1266,840,987,1119,1266,1412,1544,1692,2021-04-10,day
LV,3290,2885,3025,3151,3290,3429,3554,3694,2021-04-10,day
MT,271,72,141,202,271,339,401,470,2021-04-10,day
NL,53454,50391,51451,52400,53454,54507,55456,56516,2021-04-10,day
NO,5741,4477,4915,5306,5741,6175,6567,7004,2021-04-10,day
PL,217554,190302,199736,208182,217554,226927,235373,244807,2021-04-10,day
PT,1372,0,111,709,1372,2036,2634,3301,2021-04-10,day
RO,39426,36701,37645,38489,39426,40363,41208,42151,2021-04-10,day
SE,29532,24875,26487,27930,29532,31133,32577,34189,2021-04-10,day
SI,8085,7271,7553,7805,8085,8365,8617,8899,2021-04-10,day
SK,5708,4290,4781,5220,5708,6196,6635,7126,2021-04-10,day
