location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,17468,13856,15107,16226,17468,18711,19830,21080,2021-03-13,day
BE,17700,11217,13461,15470,17700,19930,21939,24183,2021-03-13,day
BG,13377,10381,11418,12346,13377,14407,15336,16373,2021-03-13,day
CH,4857,0,0,1416,4857,8298,11399,14863,2021-03-13,day
CY,2330,1614,1862,2083,2330,2576,2798,3045,2021-03-13,day
CZ,95492,64984,75545,85000,95492,105984,115438,125999,2021-03-13,day
DE,53472,22305,33094,42753,53472,64190,73849,84639,2021-03-13,day
DK,3429,1813,2372,2873,3429,3985,4486,5045,2021-03-13,day
EE,10961,9368,9920,10413,10961,11509,12002,12554,2021-03-13,day
ES,6555,0,0,0,6555,32033,54992,80637,2021-03-13,day
FI,5285,4354,4677,4965,5285,5606,5894,6217,2021-03-13,day
FR,153370,117065,129633,140884,153370,165855,177107,189674,2021-03-13,day
GB,32259,13055,19702,25654,32259,38863,44815,51463,2021-03-13,day
GR,14152,11799,12613,13342,14152,14961,15690,16504,2021-03-13,day
HR,3345,0,730,1970,3345,4721,5961,7345,2021-03-13,day
HU,43970,38703,40526,42159,43970,45781,47414,49237,2021-03-13,day
IE,3433,0,0,1505,3433,5360,7097,9037,2021-03-13,day
IS,17,0,0,1,17,33,47,63,2021-03-13,day
IT,158733,125967,137309,147464,158733,170001,180156,191499,2021-03-13,day
LI,16,0,0,0,16,34,50,68,2021-03-13,day
LT,3841,390,1584,2654,3841,5028,6098,7292,2021-03-13,day
LU,1050,0,0,460,1050,1641,2173,2768,2021-03-13,day
LV,4328,3508,3792,4046,4328,4610,4864,5148,2021-03-13,day
MT,2186,1625,1819,1993,2186,2378,2552,2746,2021-03-13,day
NL,34863,19217,24633,29482,34863,40244,45093,50509,2021-03-13,day
NO,4117,2933,3343,3710,4117,4524,4891,5301,2021-03-13,day
PL,100873,81394,88137,94174,100873,107572,113609,120352,2021-03-13,day
PT,2975,0,0,894,2975,5056,6931,9026,2021-03-13,day
RO,27257,19915,22456,24732,27257,29782,32058,34600,2021-03-13,day
SE,23788,927,8841,15926,23788,31650,38735,46649,2021-03-13,day
SI,4899,2683,3450,4137,4899,5661,6348,7115,2021-03-13,day
SK,15630,11852,13160,14330,15630,16929,18100,19407,2021-03-13,day
