location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,15348,12212,13298,14270,15348,16427,17399,18484,2021-04-24,day
BE,22417,15237,17723,19948,22417,24886,27111,29597,2021-04-24,day
BG,10251,6489,7791,8957,10251,11544,12710,14012,2021-04-24,day
CH,11334,7691,8952,10081,11334,12586,13715,14976,2021-04-24,day
CY,4961,4613,4733,4841,4961,5080,5188,5308,2021-04-24,day
CZ,13719,2154,6157,9741,13719,17696,21280,25284,2021-04-24,day
DE,141289,126579,131671,136230,141289,146347,150906,155998,2021-04-24,day
DK,4769,3341,3835,4278,4769,5260,5703,6198,2021-04-24,day
EE,2309,1697,1909,2099,2309,2520,2709,2921,2021-04-24,day
ES,50428,32109,38450,44128,50428,56728,62406,68747,2021-04-24,day
FI,1465,970,1142,1295,1465,1635,1788,1959,2021-04-24,day
FR,234491,192142,206802,219927,234491,249055,262180,276840,2021-04-24,day
GB,17059,0,5389,10921,17059,23198,28730,34909,2021-04-24,day
GR,19758,18475,18919,19317,19758,20199,20597,21041,2021-04-24,day
HR,16868,15005,15650,16227,16868,17508,18086,18730,2021-04-24,day
HU,25297,15594,18953,21960,25297,28635,31642,35001,2021-04-24,day
IE,2843,1620,2043,2423,2843,3264,3643,4067,2021-04-24,day
IS,17,0,6,11,17,22,28,33,2021-04-24,day
IT,86956,74574,78860,82698,86956,91214,95052,99338,2021-04-24,day
LI,74,62,66,70,74,78,82,86,2021-04-24,day
LT,8005,7189,7471,7724,8005,8285,8538,8821,2021-04-24,day
LU,996,583,726,854,996,1138,1266,1409,2021-04-24,day
LV,3911,3521,3656,3777,3911,4045,4165,4300,2021-04-24,day
MT,113,0,0,46,113,179,239,306,2021-04-24,day
NL,49005,45941,47002,47951,49005,50059,51008,52069,2021-04-24,day
NO,3324,2110,2530,2907,3324,3741,4117,4537,2021-04-24,day
PL,105528,74778,85423,94953,105528,116104,125634,136279,2021-04-24,day
PT,3346,1459,2112,2697,3346,3995,4580,5234,2021-04-24,day
RO,20195,17540,18459,19282,20195,21108,21931,22850,2021-04-24,day
SE,37731,33129,34722,36148,37731,39313,40740,42332,2021-04-24,day
SI,5805,5013,5287,5533,5805,6078,6323,6597,2021-04-24,day
SK,3327,1951,2427,2854,3327,3801,4227,4704,2021-04-24,day
