location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,23131,21120,21816,22439,23131,23823,24446,25142,2021-04-03,day
BE,36870,29556,32088,34355,36870,39385,41652,44183,2021-04-03,day
BG,27245,24069,25169,26153,27245,28337,29321,30421,2021-04-03,day
CH,9272,5452,6775,7958,9272,10586,11769,13092,2021-04-03,day
CY,2425,1946,2112,2261,2425,2590,2739,2904,2021-04-03,day
CZ,44172,32080,36266,40013,44172,48331,52078,56264,2021-04-03,day
DE,111558,96525,101729,106388,111558,116728,121387,126591,2021-04-03,day
DK,3002,1311,1896,2420,3002,3583,4107,4692,2021-04-03,day
EE,9010,8220,8493,8738,9010,9281,9526,9799,2021-04-03,day
ES,36201,17092,23707,29629,36201,42772,48694,55309,2021-04-03,day
FI,4489,4091,4229,4352,4489,4626,4749,4887,2021-04-03,day
FR,275518,241837,253497,263935,275518,287101,297538,309198,2021-04-03,day
GB,31487,20419,24250,27681,31487,35294,38724,42556,2021-04-03,day
GR,17423,16315,16698,17042,17423,17804,18147,18530,2021-04-03,day
HR,10101,6959,8047,9020,10101,11182,12156,13244,2021-04-03,day
HU,68449,59092,62331,65231,68449,71667,74567,77806,2021-04-03,day
IE,3489,1896,2448,2942,3489,4037,4531,5083,2021-04-03,day
IS,47,30,36,41,47,53,58,64,2021-04-03,day
IT,154764,138998,144456,149342,154764,160186,165073,170530,2021-04-03,day
LI,24,11,16,20,24,29,33,37,2021-04-03,day
LT,4251,2943,3396,3801,4251,4701,5107,5559,2021-04-03,day
LU,1261,827,977,1112,1261,1410,1544,1695,2021-04-03,day
LV,3521,3110,3252,3380,3521,3663,3790,3933,2021-04-03,day
MT,819,654,711,762,819,876,927,984,2021-04-03,day
NL,53183,49259,50617,51833,53183,54533,55749,57107,2021-04-03,day
NO,6630,5613,5965,6280,6630,6980,7295,7647,2021-04-03,day
PL,211688,186436,195177,203003,211688,220372,228198,236940,2021-04-03,day
PT,1593,0,318,922,1593,2264,2868,3543,2021-04-03,day
RO,42262,38799,39998,41071,42262,43453,44526,45725,2021-04-03,day
SE,32338,25923,28144,30132,32338,34544,36532,38753,2021-04-03,day
SI,6632,5800,6088,6346,6632,6918,7175,7463,2021-04-03,day
SK,8152,6710,7209,7656,8152,8648,9095,9595,2021-04-03,day
