location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,8423,5445,6476,7399,8423,9447,10370,11401,2021-05-15,day
BE,19651,12865,15214,17317,19651,21984,24087,26437,2021-05-15,day
BG,2780,0,425,1541,2780,4018,5134,6381,2021-05-15,day
CH,9526,6393,7477,8448,9526,10603,11574,12659,2021-05-15,day
CY,3337,2903,3053,3188,3337,3486,3620,3770,2021-05-15,day
CZ,6405,0,576,3339,6405,9471,12234,15321,2021-05-15,day
DE,107600,89806,95966,101481,107600,113719,119234,125393,2021-05-15,day
DK,5798,4406,4888,5319,5798,6277,6709,7191,2021-05-15,day
EE,1845,1263,1464,1645,1845,2045,2226,2427,2021-05-15,day
ES,41948,26106,31590,36500,41948,47397,52307,57791,2021-05-15,day
FI,891,510,642,760,891,1023,1141,1272,2021-05-15,day
FR,105399,65285,79172,91603,105399,119195,131626,145513,2021-05-15,day
GB,11317,0,0,5354,11317,17280,22654,28656,2021-05-15,day
GR,13719,12103,12662,13163,13719,14274,14775,15334,2021-05-15,day
HR,9942,7635,8434,9149,9942,10736,11451,12250,2021-05-15,day
HU,5886,0,1051,3343,5886,8429,10721,13281,2021-05-15,day
IE,2709,1537,1943,2306,2709,3112,3475,3881,2021-05-15,day
IS,51,35,40,45,51,56,61,67,2021-05-15,day
IT,61603,49731,53841,57520,61603,65686,69365,73474,2021-05-15,day
LI,30,19,23,27,30,34,38,42,2021-05-15,day
LT,9050,8091,8423,8720,9050,9379,9676,10008,2021-05-15,day
LU,908,553,676,786,908,1030,1140,1263,2021-05-15,day
LV,4408,4033,4163,4279,4408,4536,4652,4782,2021-05-15,day
MT,89,0,0,25,89,153,211,275,2021-05-15,day
NL,49202,45488,46774,47924,49202,50479,51630,52915,2021-05-15,day
NO,2085,928,1329,1687,2085,2483,2841,3242,2021-05-15,day
PL,16366,0,0,6307,16366,26426,35490,45616,2021-05-15,day
PT,2764,932,1566,2134,2764,3394,3961,4596,2021-05-15,day
RO,5551,3004,3886,4675,5551,6427,7217,8098,2021-05-15,day
SE,30529,26148,27664,29022,30529,32035,33393,34909,2021-05-15,day
SI,4067,3313,3574,3808,4067,4327,4560,4822,2021-05-15,day
SK,1558,232,691,1102,1558,2014,2425,2884,2021-05-15,day
