location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,11312,8292,9337,10273,11312,12351,13287,14332,2021-05-08,day
BE,21160,14252,16644,18784,21160,23536,25677,28068,2021-05-08,day
BG,4254,605,1868,2999,4254,5510,6641,7904,2021-05-08,day
CH,10546,7367,8468,9453,10546,11639,12623,13724,2021-05-08,day
CY,4899,4473,4620,4753,4899,5046,5178,5326,2021-05-08,day
CZ,10316,1322,4435,7223,10316,13409,16196,19310,2021-05-08,day
DE,133873,115828,122075,127667,133873,140079,145671,151918,2021-05-08,day
DK,5016,3627,4108,4538,5016,5493,5923,6404,2021-05-08,day
EE,1717,1124,1329,1513,1717,1921,2104,2310,2021-05-08,day
ES,49904,33859,39413,44386,49904,55422,60395,65950,2021-05-08,day
FI,847,463,596,715,847,979,1098,1231,2021-05-08,day
FR,142740,101846,116003,128676,142740,156804,169477,183634,2021-05-08,day
GB,13001,0,1557,6982,13001,19021,24445,30504,2021-05-08,day
GR,14186,12557,13121,13625,14186,14746,15250,15814,2021-05-08,day
HR,15043,12730,13531,14248,15043,15839,16556,17357,2021-05-08,day
HU,9866,2370,4965,7288,9866,12444,14768,17363,2021-05-08,day
IE,2793,1605,2016,2384,2793,3201,3570,3981,2021-05-08,day
IS,82,66,72,77,82,88,93,99,2021-05-08,day
IT,71523,59487,63654,67384,71523,75662,79392,83558,2021-05-08,day
LI,68,56,60,64,68,71,75,79,2021-05-08,day
LT,9145,8167,8506,8809,9145,9482,9785,10124,2021-05-08,day
LU,1069,709,833,945,1069,1192,1304,1429,2021-05-08,day
LV,4684,4308,4438,4555,4684,4814,4930,5060,2021-05-08,day
MT,113,0,0,48,113,178,236,301,2021-05-08,day
NL,45060,41242,42564,43747,45060,46374,47557,48879,2021-05-08,day
NO,2221,1044,1451,1816,2221,2626,2991,3399,2021-05-08,day
PL,29468,0,10103,19282,29468,39654,48833,59086,2021-05-08,day
PT,3053,1204,1844,2417,3053,3689,4262,4902,2021-05-08,day
RO,8269,5692,6585,7383,8269,9156,9954,10846,2021-05-08,day
SE,28039,23584,25126,26506,28039,29571,30951,32494,2021-05-08,day
SI,4288,3522,3787,4024,4288,4552,4789,5054,2021-05-08,day
SK,1913,572,1036,1452,1913,2374,2789,3253,2021-05-08,day
