location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,19458,16261,17368,18359,19458,20558,21549,22655,2021-04-17,day
BE,27414,20078,22618,24891,27414,29937,32210,34750,2021-04-17,day
BG,16920,13090,14416,15603,16920,18237,19424,20750,2021-04-17,day
CH,11610,7909,9190,10337,11610,12883,14030,15312,2021-04-17,day
CY,3858,3496,3621,3734,3858,3983,4095,4221,2021-04-17,day
CZ,19380,7643,11706,15344,19380,23417,27055,31118,2021-04-17,day
DE,114436,99571,104717,109324,114436,119549,124156,129302,2021-04-17,day
DK,4219,2763,3267,3718,4219,4720,5171,5675,2021-04-17,day
EE,3530,2905,3121,3315,3530,3745,3939,4155,2021-04-17,day
ES,42188,23615,30045,35801,42188,48576,54332,60762,2021-04-17,day
FI,2178,1683,1854,2008,2178,2348,2501,2673,2021-04-17,day
FR,280625,238064,252797,265988,280625,295262,308452,323185,2021-04-17,day
GB,19445,1412,7655,13243,19445,25647,31235,37478,2021-04-17,day
GR,20664,19422,19852,20237,20664,21091,21476,21905,2021-04-17,day
HR,15592,13725,14371,14950,15592,16234,16812,17458,2021-04-17,day
HU,38525,28588,32028,35108,38525,41942,45022,48462,2021-04-17,day
IE,2844,1608,2036,2419,2844,3270,3653,4081,2021-04-17,day
IS,42,26,31,36,42,48,53,59,2021-04-17,day
IT,101637,89069,93419,97314,101637,105959,109854,114205,2021-04-17,day
LI,56,44,48,52,56,61,64,69,2021-04-17,day
LT,7090,6256,6545,6803,7090,7377,7636,7925,2021-04-17,day
LU,1340,920,1066,1196,1340,1484,1614,1759,2021-04-17,day
LV,3383,2985,3123,3246,3383,3520,3643,3780,2021-04-17,day
MT,159,0,31,92,159,226,286,354,2021-04-17,day
NL,49118,46074,47128,48071,49118,50165,51108,52162,2021-04-17,day
NO,4506,3264,3694,4079,4506,4933,5317,5747,2021-04-17,day
PL,153874,123145,133783,143306,153874,164443,173966,184604,2021-04-17,day
PT,1289,0,42,633,1289,1946,2537,3198,2021-04-17,day
RO,32124,29427,30361,31197,32124,33052,33888,34821,2021-04-17,day
SE,36668,32011,33623,35066,36668,38269,39712,41324,2021-04-17,day
SI,7429,6625,6904,7153,7429,7706,7955,8233,2021-04-17,day
SK,4316,2919,3402,3835,4316,4797,5230,5713,2021-04-17,day
