location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,21568,934,8077,14472,21568,28665,35060,42203,2021-03-27,day
BE,29240,21714,24319,26652,29240,31828,34161,36766,2021-03-27,day
BG,28584,24798,26108,27282,28584,29886,31059,32370,2021-03-27,day
CH,8645,881,3569,5975,8645,11316,13722,16410,2021-03-27,day
CY,3073,2081,2424,2732,3073,3414,3722,4065,2021-03-27,day
CZ,66299,5550,26580,45407,66299,87192,106018,127048,2021-03-27,day
DE,99189,68637,79214,88682,99189,109697,119165,129742,2021-03-27,day
DK,5173,0,0,1829,5173,8518,11532,14898,2021-03-27,day
EE,11032,8812,9581,10268,11032,11795,12483,13251,2021-03-27,day
ES,18423,0,0,0,18423,38370,56344,76422,2021-03-27,day
FI,5192,4032,4433,4793,5192,5590,5950,6351,2021-03-27,day
FR,168504,126899,141302,154196,168504,182812,195706,210108,2021-03-27,day
GB,30299,7896,15651,22594,30299,38003,44946,52701,2021-03-27,day
GR,18573,13408,15196,16797,18573,20350,21951,23739,2021-03-27,day
HR,6713,0,0,0,6713,14310,21155,28802,2021-03-27,day
HU,62639,48777,53575,57872,62639,67406,71702,76501,2021-03-27,day
IE,3218,782,1625,2380,3218,4055,4810,5653,2021-03-27,day
IS,20,3,9,14,20,26,31,37,2021-03-27,day
IT,168814,120668,137335,152256,168814,185373,200294,216961,2021-03-27,day
LI,20,0,0,7,20,34,46,60,2021-03-27,day
LT,3366,0,0,0,3366,8259,12668,17594,2021-03-27,day
LU,1088,0,114,576,1088,1601,2063,2579,2021-03-27,day
LV,3752,2544,2962,3337,3752,4167,4542,4960,2021-03-27,day
MT,1772,1016,1278,1512,1772,2032,2267,2529,2021-03-27,day
NL,44070,32836,36725,40207,44070,47934,51416,55305,2021-03-27,day
NO,7287,5266,5965,6592,7287,7982,8609,9309,2021-03-27,day
PL,161870,138072,146310,153686,161870,170054,177430,185668,2021-03-27,day
PT,1870,0,0,0,1870,15433,27655,41308,2021-03-27,day
RO,40275,29695,33358,36636,40275,43913,47192,50854,2021-03-27,day
SE,30575,8741,16299,23066,30575,38083,44850,52408,2021-03-27,day
SI,5484,2937,3819,4608,5484,6360,7150,8031,2021-03-27,day
SK,12244,7839,9364,10729,12244,13758,15123,16648,2021-03-27,day
