location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,64,19,49,81,233,2021-10-23,day
BG,636,187,489,808,2318,2021-10-23,day
CZ,168,50,130,214,614,2021-10-23,day
DE,310,91,239,394,1130,2021-10-23,day
DK,29,9,22,37,106,2021-10-23,day
GB,949,280,731,1206,3461,2021-10-23,day
GR,273,80,210,347,995,2021-10-23,day
HR,119,35,91,151,432,2021-10-23,day
IT,239,70,184,304,871,2021-10-23,day
LT,242,71,186,307,882,2021-10-23,day
LV,132,39,102,168,482,2021-10-23,day
PT,65,19,50,83,237,2021-10-23,day
RO,2643,780,2035,3359,9638,2021-10-23,day
SI,24,7,18,30,86,2021-10-23,day
