location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
BE,26,8,20,33,94,2021-07-10,day
BG,63,19,49,80,230,2021-07-10,day
CY,0,0,0,0,0,2021-07-10,day
CZ,6,2,5,8,22,2021-07-10,day
DE,155,46,119,196,564,2021-07-10,day
FI,5,2,4,7,19,2021-07-10,day
FR,130,38,100,165,474,2021-07-10,day
GB,116,34,89,148,424,2021-07-10,day
GR,46,14,36,59,169,2021-07-10,day
HR,15,5,12,20,56,2021-07-10,day
IE,11,3,9,14,41,2021-07-10,day
IS,0,0,0,0,0,2021-07-10,day
IT,152,45,117,193,555,2021-07-10,day
LI,0,0,0,0,0,2021-07-10,day
LT,13,4,10,17,48,2021-07-10,day
LU,0,0,0,0,0,2021-07-10,day
MT,0,0,0,0,0,2021-07-10,day
NO,1,0,1,2,5,2021-07-10,day
PL,68,20,52,86,246,2021-07-10,day
RO,495,146,381,629,1805,2021-07-10,day
SE,0,0,0,0,0,2021-07-10,day
