location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,10,3,8,13,38,2021-07-03,day
BE,23,7,18,30,85,2021-07-03,day
BG,9,3,7,12,34,2021-07-03,day
CY,0,0,0,0,0,2021-07-03,day
CZ,5,1,4,6,17,2021-07-03,day
DE,184,54,142,234,672,2021-07-03,day
DK,0,0,0,1,2,2021-07-03,day
EE,3,1,2,3,9,2021-07-03,day
FI,0,0,0,0,1,2021-07-03,day
FR,139,41,107,176,505,2021-07-03,day
GB,188,55,144,238,684,2021-07-03,day
GR,107,32,83,136,391,2021-07-03,day
HR,19,6,15,24,70,2021-07-03,day
HU,13,4,10,16,46,2021-07-03,day
IE,1,0,1,1,3,2021-07-03,day
IS,0,0,0,0,0,2021-07-03,day
IT,131,39,101,167,478,2021-07-03,day
LI,0,0,0,0,0,2021-07-03,day
LT,8,2,6,10,28,2021-07-03,day
LU,0,0,0,0,0,2021-07-03,day
LV,1,0,1,2,5,2021-07-03,day
NL,17,5,13,22,63,2021-07-03,day
PL,75,22,58,96,274,2021-07-03,day
PT,22,6,17,28,79,2021-07-03,day
RO,1415,418,1090,1799,5162,2021-07-03,day
SI,5,2,4,7,19,2021-07-03,day
SK,13,4,10,16,47,2021-07-03,day
