location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
BG,66,19,50,83,239,2021-07-24,day
CZ,53,16,41,68,194,2021-07-24,day
DE,68,20,53,87,250,2021-07-24,day
DK,6,2,5,8,23,2021-07-24,day
ES,71,21,55,91,260,2021-07-24,day
FI,5,1,4,6,17,2021-07-24,day
FR,97,28,74,123,352,2021-07-24,day
GB,577,170,444,733,2103,2021-07-24,day
GR,44,13,34,56,161,2021-07-24,day
HR,8,2,6,10,27,2021-07-24,day
HU,4,1,3,6,16,2021-07-24,day
IE,29,9,22,37,106,2021-07-24,day
IS,0,0,0,0,0,2021-07-24,day
IT,84,25,64,106,305,2021-07-24,day
LI,0,0,0,0,0,2021-07-24,day
LT,3,1,2,4,12,2021-07-24,day
LU,1,0,1,1,4,2021-07-24,day
MT,0,0,0,0,0,2021-07-24,day
NO,5,1,4,6,17,2021-07-24,day
PL,51,15,39,65,187,2021-07-24,day
PT,61,18,47,78,224,2021-07-24,day
RO,4,1,3,5,16,2021-07-24,day
SK,3,1,3,4,12,2021-07-24,day
