location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,29,8,22,36,105,2021-06-12,day
BE,85,25,65,107,308,2021-06-12,day
BG,161,47,124,204,586,2021-06-12,day
CY,1,0,1,2,5,2021-06-12,day
CZ,43,13,33,54,156,2021-06-12,day
DK,2,1,1,2,6,2021-06-12,day
EE,17,5,13,22,62,2021-06-12,day
FR,323,95,249,411,1178,2021-06-12,day
GB,102,30,78,129,371,2021-06-12,day
GR,235,69,181,299,859,2021-06-12,day
HR,43,13,33,55,157,2021-06-12,day
HU,81,24,62,103,295,2021-06-12,day
IE,0,0,0,0,0,2021-06-12,day
IS,0,0,0,0,0,2021-06-12,day
IT,266,78,205,338,969,2021-06-12,day
LI,0,0,0,0,0,2021-06-12,day
LT,38,11,30,49,140,2021-06-12,day
LV,40,12,31,50,145,2021-06-12,day
NL,48,14,37,61,175,2021-06-12,day
NO,1,0,1,1,3,2021-06-12,day
PL,143,42,110,182,521,2021-06-12,day
PT,26,8,20,33,94,2021-06-12,day
RO,957,282,737,1217,3491,2021-06-12,day
SE,142,42,109,180,517,2021-06-12,day
SI,8,2,6,10,30,2021-06-12,day
SK,50,15,38,63,181,2021-06-12,day
